;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-50337042.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 13:42:57
_RUNTIME = 12.36928
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 9.9639
_2THETA = 20
_KHI = -0.25
_PHI = 0
_X = -10.255
_Y = -0.555
_Z = 0.7095
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
24.234278	20.000000	
24.254537	16.000000	
24.274797	22.000000	
24.295057	16.000000	
24.315316	15.000000	
24.335576	22.000000	
24.355836	17.000000	
24.376095	18.000000	
24.396355	18.000000	
24.416615	16.000000	
24.436875	21.000000	
24.457134	20.000000	
24.477394	16.000000	
24.497654	18.000000	
24.517913	20.000000	
24.538173	21.000000	
24.558433	12.000000	
24.578692	16.000000	
24.598952	18.000000	
24.619212	11.000000	
24.639472	17.000000	
24.659731	27.000000	
24.679991	14.000000	
24.700251	18.000000	
24.720510	19.000000	
24.740770	17.000000	
24.761030	14.000000	
24.781289	14.000000	
24.801549	12.000000	
24.821809	14.000000	
24.842069	20.000000	
24.862328	23.000000	
24.882588	21.000000	
24.902848	20.000000	
24.923107	10.000000	
24.943367	12.000000	
24.963627	17.000000	
24.983886	12.000000	
25.004146	26.000000	
25.024406	17.000000	
25.044666	18.000000	
25.064925	13.000000	
25.085185	23.000000	
25.105445	15.000000	
25.125704	14.000000	
25.145964	15.000000	
25.166224	16.000000	
25.186484	17.000000	
25.206743	21.000000	
25.227003	19.000000	
25.247263	22.000000	
25.267522	13.000000	
25.287782	16.000000	
25.308042	15.000000	
25.328301	19.000000	
25.348561	14.000000	
25.368821	18.000000	
25.389081	9.000000	
25.409340	15.000000	
25.429600	11.000000	
25.449860	21.000000	
25.470119	13.000000	
25.490379	13.000000	
25.510639	10.000000	
25.530898	11.000000	
25.551158	18.000000	
25.571418	28.000000	
25.591678	17.000000	
25.611937	23.000000	
25.632197	13.000000	
25.652457	19.000000	
25.672716	18.000000	
25.692976	15.000000	
25.713236	15.000000	
25.733495	13.000000	
25.753755	16.000000	
25.774015	13.000000	
25.794275	16.000000	
25.814534	20.000000	
25.834794	15.000000	
25.855054	19.000000	
