;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-49812754.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 15:20:24
_RUNTIME = 12.37281
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 10
_2THETA = 20
_KHI = -0.3
_PHI = 0
_X = -9.77
_Y = 0
_Z = 0.7
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
20.000000	21.000000	
20.020260	23.000000	
20.040519	20.000000	
20.060779	16.000000	
20.081039	17.000000	
20.101299	16.000000	
20.121558	16.000000	
20.141818	13.000000	
20.162078	20.000000	
20.182337	21.000000	
20.202597	15.000000	
20.222857	19.000000	
20.243116	17.000000	
20.263376	19.000000	
20.283636	15.000000	
20.303896	22.000000	
20.324155	27.000000	
20.344415	20.000000	
20.364675	26.000000	
20.384934	17.000000	
20.405194	17.000000	
20.425454	16.000000	
20.445713	16.000000	
20.465973	13.000000	
20.486233	20.000000	
20.506493	26.000000	
20.526752	19.000000	
20.547012	24.000000	
20.567272	23.000000	
20.587531	23.000000	
20.607791	18.000000	
20.628051	22.000000	
20.648310	15.000000	
20.668570	23.000000	
20.688830	19.000000	
20.709090	22.000000	
20.729349	20.000000	
20.749609	30.000000	
20.769869	22.000000	
20.790128	19.000000	
20.810388	23.000000	
20.830648	19.000000	
20.850907	14.000000	
20.871167	23.000000	
20.891427	27.000000	
20.911687	16.000000	
20.931946	20.000000	
20.952206	24.000000	
20.972466	22.000000	
20.992725	22.000000	
21.012985	19.000000	
21.033245	19.000000	
21.053504	20.000000	
21.073764	23.000000	
21.094024	22.000000	
21.114284	14.000000	
21.134543	14.000000	
21.154803	14.000000	
21.175063	24.000000	
21.195322	20.000000	
21.215582	14.000000	
21.235842	21.000000	
21.256101	15.000000	
21.276361	20.000000	
21.296621	20.000000	
21.316881	24.000000	
21.337140	12.000000	
21.357400	22.000000	
21.377660	20.000000	
21.397919	23.000000	
21.418179	13.000000	
21.438439	26.000000	
21.458698	22.000000	
21.478958	16.000000	
21.499218	18.000000	
21.519478	14.000000	
21.539737	18.000000	
21.559997	19.000000	
21.580257	20.000000	
21.600516	16.000000	
21.620776	20.000000	
21.641036	19.000000	
21.661295	19.000000	
21.681555	13.000000	
21.701815	20.000000	
21.722075	17.000000	
21.742334	22.000000	
21.762594	21.000000	
21.782854	24.000000	
21.803113	13.000000	
21.823373	18.000000	
21.843633	20.000000	
21.863893	21.000000	
21.884152	16.000000	
21.904412	19.000000	
21.924672	21.000000	
21.944931	19.000000	
21.965191	18.000000	
21.985451	13.000000	
22.005710	16.000000	
22.025970	25.000000	
22.046230	19.000000	
22.066490	18.000000	
22.086749	28.000000	
22.107009	20.000000	
22.127269	23.000000	
22.147528	12.000000	
22.167788	18.000000	
22.188048	23.000000	
22.208307	22.000000	
22.228567	21.000000	
22.248827	17.000000	
22.269087	22.000000	
22.289346	22.000000	
22.309606	20.000000	
22.329866	21.000000	
22.350125	8.000000	
22.370385	24.000000	
22.390645	17.000000	
22.410904	18.000000	
22.431164	29.000000	
22.451424	16.000000	
22.471684	25.000000	
22.491943	24.000000	
22.512203	30.000000	
22.532463	26.000000	
22.552722	25.000000	
22.572982	27.000000	
22.593242	27.000000	
22.613501	17.000000	
22.633761	18.000000	
22.654021	20.000000	
22.674281	18.000000	
22.694540	30.000000	
22.714800	24.000000	
22.735060	21.000000	
22.755319	24.000000	
22.775579	19.000000	
22.795839	20.000000	
22.816098	15.000000	
22.836358	22.000000	
22.856618	23.000000	
22.876878	18.000000	
22.897137	14.000000	
22.917397	30.000000	
22.937657	17.000000	
22.957916	18.000000	
22.978176	20.000000	
22.998436	16.000000	
23.018695	18.000000	
23.038955	28.000000	
23.059215	16.000000	
23.079475	16.000000	
23.099734	26.000000	
23.119994	23.000000	
23.140254	35.000000	
23.160513	21.000000	
23.180773	18.000000	
23.201033	24.000000	
23.221292	29.000000	
23.241552	18.000000	
23.261812	32.000000	
23.282072	24.000000	
23.302331	23.000000	
23.322591	21.000000	
23.342851	32.000000	
23.363110	23.000000	
23.383370	18.000000	
23.403630	25.000000	
23.423890	13.000000	
23.444149	27.000000	
23.464409	32.000000	
23.484669	28.000000	
23.504928	31.000000	
23.525188	25.000000	
23.545448	14.000000	
23.565707	29.000000	
23.585967	22.000000	
23.606227	23.000000	
23.626487	21.000000	
23.646746	18.000000	
23.667006	23.000000	
23.687266	24.000000	
23.707525	12.000000	
23.727785	14.000000	
23.748045	17.000000	
23.768304	19.000000	
23.788564	17.000000	
23.808824	15.000000	
23.829084	11.000000	
23.849343	15.000000	
23.869603	12.000000	
23.889863	23.000000	
23.910122	16.000000	
23.930382	22.000000	
23.950642	23.000000	
23.970901	16.000000	
23.991161	21.000000	
24.011421	19.000000	
24.031681	17.000000	
24.051940	18.000000	
24.072200	12.000000	
24.092460	17.000000	
24.112719	21.000000	
24.132979	17.000000	
24.153239	17.000000	
24.173498	13.000000	
24.193758	17.000000	
24.214018	14.000000	
24.234278	17.000000	
24.254537	9.000000	
24.274797	13.000000	
24.295057	14.000000	
24.315316	21.000000	
24.335576	15.000000	
24.355836	8.000000	
24.376095	11.000000	
24.396355	14.000000	
24.416615	20.000000	
24.436875	21.000000	
24.457134	15.000000	
24.477394	9.000000	
24.497654	21.000000	
24.517913	6.000000	
24.538173	14.000000	
24.558433	17.000000	
24.578692	13.000000	
24.598952	13.000000	
24.619212	14.000000	
24.639472	13.000000	
24.659731	18.000000	
24.679991	17.000000	
24.700251	10.000000	
24.720510	15.000000	
24.740770	11.000000	
24.761030	15.000000	
24.781289	12.000000	
24.801549	16.000000	
24.821809	10.000000	
24.842069	15.000000	
24.862328	12.000000	
24.882588	15.000000	
24.902848	13.000000	
24.923107	8.000000	
24.943367	15.000000	
24.963627	13.000000	
24.983886	15.000000	
25.004146	9.000000	
25.024406	14.000000	
25.044666	19.000000	
25.064925	12.000000	
25.085185	12.000000	
25.105445	12.000000	
25.125704	18.000000	
25.145964	16.000000	
25.166224	7.000000	
25.186484	17.000000	
25.206743	10.000000	
25.227003	12.000000	
25.247263	18.000000	
25.267522	14.000000	
25.287782	13.000000	
25.308042	8.000000	
25.328301	9.000000	
25.348561	17.000000	
25.368821	16.000000	
25.389081	19.000000	
25.409340	15.000000	
25.429600	12.000000	
25.449860	16.000000	
25.470119	13.000000	
25.490379	9.000000	
25.510639	14.000000	
25.530898	15.000000	
25.551158	17.000000	
25.571418	17.000000	
25.591678	14.000000	
25.611937	21.000000	
25.632197	9.000000	
25.652457	13.000000	
25.672716	19.000000	
25.692976	14.000000	
25.713236	11.000000	
25.733495	11.000000	
25.753755	15.000000	
25.774015	16.000000	
25.794275	10.000000	
25.814534	14.000000	
25.834794	12.000000	
25.855054	13.000000	
25.875313	16.000000	
25.895573	19.000000	
25.915833	13.000000	
25.936092	9.000000	
25.956352	16.000000	
25.976612	13.000000	
25.996872	13.000000	
26.017131	11.000000	
26.037391	13.000000	
26.057651	12.000000	
26.077910	15.000000	
26.098170	15.000000	
26.118430	14.000000	
26.138689	16.000000	
26.158949	21.000000	
26.179209	18.000000	
26.199469	12.000000	
26.219728	13.000000	
26.239988	12.000000	
26.260248	11.000000	
26.280507	15.000000	
26.300767	14.000000	
26.321027	11.000000	
26.341286	13.000000	
26.361546	12.000000	
26.381806	12.000000	
26.402066	13.000000	
26.422325	12.000000	
26.442585	11.000000	
26.462845	14.000000	
26.483104	16.000000	
26.503364	12.000000	
26.523624	20.000000	
26.543883	13.000000	
26.564143	18.000000	
26.584403	13.000000	
26.604663	8.000000	
26.624922	23.000000	
26.645182	8.000000	
26.665442	18.000000	
26.685701	12.000000	
26.705961	14.000000	
26.726221	16.000000	
26.746481	15.000000	
26.766740	14.000000	
26.787000	16.000000	
26.807260	22.000000	
26.827519	15.000000	
26.847779	17.000000	
26.868039	17.000000	
26.888298	13.000000	
26.908558	21.000000	
26.928818	15.000000	
26.949078	20.000000	
26.969337	27.000000	
26.989597	19.000000	
27.009857	18.000000	
27.030116	26.000000	
27.050376	28.000000	
27.070636	21.000000	
27.090895	23.000000	
27.111155	24.000000	
27.131415	13.000000	
27.151675	24.000000	
27.171934	19.000000	
27.192194	17.000000	
27.212454	17.000000	
27.232713	14.000000	
27.252973	9.000000	
27.273233	20.000000	
27.293492	9.000000	
27.313752	11.000000	
27.334012	14.000000	
27.354272	8.000000	
27.374531	13.000000	
27.394791	13.000000	
27.415051	13.000000	
27.435310	12.000000	
27.455570	9.000000	
27.475830	9.000000	
27.496089	16.000000	
27.516349	18.000000	
27.536609	14.000000	
27.556869	10.000000	
27.577128	9.000000	
27.597388	10.000000	
27.617648	17.000000	
27.637907	11.000000	
27.658167	12.000000	
27.678427	14.000000	
27.698686	14.000000	
27.718946	14.000000	
27.739206	9.000000	
27.759466	10.000000	
27.779725	15.000000	
27.799985	11.000000	
27.820245	19.000000	
27.840504	14.000000	
27.860764	12.000000	
27.881024	15.000000	
27.901283	10.000000	
27.921543	14.000000	
27.941803	12.000000	
27.962063	11.000000	
27.982322	16.000000	
28.002582	12.000000	
28.022842	15.000000	
28.043101	18.000000	
28.063361	10.000000	
28.083621	11.000000	
28.103880	10.000000	
28.124140	17.000000	
28.144400	10.000000	
28.164660	11.000000	
28.184919	11.000000	
28.205179	5.000000	
28.225439	12.000000	
28.245698	13.000000	
28.265958	10.000000	
28.286218	16.000000	
28.306477	8.000000	
28.326737	13.000000	
28.346997	13.000000	
28.367257	17.000000	
28.387516	9.000000	
28.407776	10.000000	
28.428036	11.000000	
28.448295	15.000000	
28.468555	15.000000	
28.488815	13.000000	
28.509075	14.000000	
28.529334	14.000000	
28.549594	13.000000	
28.569854	13.000000	
28.590113	14.000000	
28.610373	13.000000	
28.630633	14.000000	
28.650892	17.000000	
28.671152	18.000000	
28.691412	18.000000	
28.711672	16.000000	
28.731931	14.000000	
28.752191	12.000000	
28.772451	11.000000	
28.792710	25.000000	
28.812970	19.000000	
28.833230	28.000000	
28.853489	20.000000	
28.873749	20.000000	
28.894009	12.000000	
28.914269	32.000000	
28.934528	34.000000	
28.954788	25.000000	
