200 mV/s,,,100 mV/s,,,50 mV/s,,,20 mV/s,
電圧,電流,,電圧,電流,,電圧,電流,,電圧,電流
0.307801813,-1.44E-05,,0.253984243,-2.76E-05,,0.466997951,-1.80E-05,,0.306995034,-6.05E-05
0.30989787,-1.41E-05,,0.254927635,-2.72E-05,,0.471995413,-1.74E-05,,0.308848321,-6.02E-05
0.311706692,-1.32E-05,,0.256050289,-2.66E-05,,0.477008641,-1.68E-05,,0.310942858,-5.98E-05
0.313535571,-1.27E-05,,0.256976783,-2.68E-05,,0.482010067,-1.61E-05,,0.312908381,-5.95E-05
0.315699428,-1.19E-05,,0.257920235,-2.62E-05,,0.487009585,-1.54E-05,,0.314953774,-5.91E-05
0.317791253,-1.14E-05,,0.258828461,-2.58E-05,,0.4920609,-1.46E-05,,0.317021519,-5.88E-05
0.319663465,-1.08E-05,,0.2599895,-2.54E-05,,0.497075856,-1.39E-05,,0.318977684,-5.84E-05
0.321701556,-1.04E-05,,0.260968119,-2.54E-05,,0.502040505,-1.32E-05,,0.320937186,-5.81E-05
0.323554039,-9.66E-06,,0.261934459,-2.50E-05,,0.507053196,-1.24E-05,,0.32291016,-5.77E-05
0.325476676,-9.20E-06,,0.263120562,-2.47E-05,,0.512052,-1.15E-05,,0.324985266,-5.74E-05
0.327641606,-8.45E-06,,0.264150351,-2.42E-05,,0.517025411,-1.08E-05,,0.326978356,-5.70E-05
0.329533607,-7.89E-06,,0.265019119,-2.41E-05,,0.522072852,-9.92E-06,,0.328903645,-5.67E-05
0.331626266,-7.21E-06,,0.265871078,-2.36E-05,,0.527023494,-9.08E-06,,0.330975473,-5.63E-05
0.333842874,-6.98E-06,,0.26696676,-2.34E-05,,0.532055318,-8.14E-06,,0.332983404,-5.60E-05
0.335430026,-6.25E-06,,0.267870814,-2.33E-05,,0.53700757,-7.21E-06,,0.334979981,-5.56E-05
0.337672025,-6.04E-06,,0.268724561,-2.31E-05,,0.54204762,-6.23E-06,,0.337015092,-5.53E-05
0.339807689,-4.99E-06,,0.270001143,-2.28E-05,,0.547084928,-5.14E-06,,0.338952243,-5.49E-05
0.341612667,-4.69E-06,,0.270906121,-2.25E-05,,0.552044094,-4.08E-06,,0.341027319,-5.46E-05
0.34366861,-4.05E-06,,0.271939158,-2.21E-05,,0.557063401,-2.97E-06,,0.343025714,-5.43E-05
0.345892608,-3.73E-06,,0.272971332,-2.22E-05,,0.562051475,-1.79E-06,,0.345049709,-5.40E-05
0.347752035,-2.72E-06,,0.274030656,-2.15E-05,,0.56703943,-5.66E-07,,0.346982628,-5.37E-05
0.349970937,-2.70E-06,,0.274817318,-2.13E-05,,0.572033823,6.78E-07,,0.348984838,-5.34E-05
0.35139814,-1.89E-06,,0.275873184,-2.11E-05,,0.576981246,2.00E-06,,0.351041287,-5.30E-05
0.353898704,-1.88E-06,,0.276943475,-2.11E-05,,0.582017779,3.38E-06,,0.352996618,-5.27E-05
0.355623305,-1.11E-06,,0.277986795,-2.07E-05,,0.587024689,4.79E-06,,0.354986161,-5.24E-05
