電圧,電流
0.721811235,0.000797841
0.723785818,0.000807087
0.725808799,0.00081572
0.727853596,0.000824923
0.729791224,0.000834136
0.731714904,0.000844079
0.73373121,0.000852803
0.735783517,0.000861969
0.737918794,0.000871579
0.739883184,0.000881107
0.741847217,0.000890361
0.743854821,0.000900147
0.74581641,0.000909506
0.747708499,0.000919105
0.74978596,0.000928497
0.751758873,0.000938512
0.753771186,0.000947678
0.755823672,0.00095759
0.757667363,0.000966977
0.759815753,0.000977032
0.761689663,0.000986546
0.763814092,0.000996304
0.765741467,0.001005802
0.767862558,0.001015949
0.769739807,0.00102502
0.771812499,0.00103494
0.773694277,0.001044494
0.775775254,0.001054178
0.777750373,0.001064414
0.779679358,0.001074131
0.781673372,0.001084185
0.783650815,0.001094278
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.785001516,0.001099872
0.847673953,0.001399171
0.849799335,0.001409019
0.85163039,0.001418682
0.853838563,0.001433801
0.855969012,0.001445247
0.857941866,0.001453616
0.859970927,0.001462817
0.861918151,0.001470534
0.863704026,0.001478656
0.865902007,0.001488665
0.867991149,0.00149754
0.869874239,0.00150642
0.871991694,0.001516326
0.873801053,0.00152394
0.87593478,0.001533294
0.877975643,0.001543353
0.879646003,0.00155038
0.881924748,0.001560575
0.883963168,0.001570592
0.88601166,0.001578709
0.887733817,0.001586225
0.890008271,0.001597505
0.891958296,0.001606192
0.8940081,0.00161486
0.895775676,0.00162268
0.897962868,0.0016325
0.899934769,0.001641668
0.901859581,0.001649829
0.903952301,0.001659588
0.90591979,0.001667936
0.907961011,0.001677993
0.910034776,0.001686438
0.911981702,0.001695428
0.91404146,0.001705244
0.91583848,0.001712849
0.917996407,0.001722548
0.91983968,0.00173086
0.921971262,0.001740889
0.92397213,0.001750222
0.9258973,0.001759061
0.927931845,0.001768435
0.930023909,0.00177772
0.931726575,0.001785562
0.933900356,0.001795916
0.93591994,0.00180452
0.937890887,0.001814352
0.939755261,0.00182319
0.941924036,0.001833519
0.943959117,0.001843124
0.945786357,0.001851658
0.947879493,0.001861837
0.949908495,0.001871288
0.951996326,0.001881859
0.954041958,0.001891978
0.955816448,0.001899847
0.958074749,0.001911448
0.959891438,0.001919421
0.96204555,0.001931005
0.964040816,0.001940034
0.966076255,0.001950571
0.967951894,0.00195904
0.969983816,0.001968958
0.972032666,0.001979443
0.973984301,0.001989522
0.975871325,0.001997856
0.977931976,0.00200848
0.979740322,0.002017143
0.982042074,0.002027747
0.983963013,0.002038533
0.985889196,0.002047174
0.987965822,0.002058447
0.990132689,0.002068573
0.991984248,0.002077951
0.994122326,0.00208712
0.995995343,0.002096778
0.997967422,0.002106399
1.000108957,0.002117131
1.001989722,0.002125864
1.004051208,0.002135336
1.005838752,0.002143949
1.007898688,0.002153551
1.010037422,0.002163847
1.012016892,0.002172789
1.013911128,0.002181652
1.015877247,0.002189778
1.017830014,0.002198369
1.020055771,0.00220858
1.021935225,0.002216444
1.023949265,0.002225968
1.025965929,0.002235628
1.028062463,0.002244208
1.030067921,0.002253028
1.031928182,0.00226027
1.03382504,0.002268177
1.035982728,0.002276887
1.038020849,0.002284782
1.039985061,0.002293039
1.04200232,0.002300865
1.043966413,0.002308334
1.046003819,0.002316275
1.048005581,0.002324119
1.049859881,0.0023302
1.052061558,0.002338541
1.053817987,0.00234468
1.056052089,0.002352607
1.058098435,0.002360781
1.059974313,0.00236691
1.062105179,0.002374056
1.063886642,0.002379725
1.066022277,0.002387243
1.068063974,0.002393844
1.069905162,0.002399452
1.072033286,0.002406443
1.074113965,0.002414177
1.076160908,0.002420731
1.077937007,0.00242494
1.079947948,0.002430684
1.082084179,0.002437537
1.084015489,0.002442534
1.086080432,0.002449675
1.088008523,0.002453994
1.090005398,0.002459649
1.092046738,0.002465405
1.093975782,0.002471694
1.096022487,0.002476693
1.098126888,0.002483304
1.099920869,0.002487811
1.102025628,0.002492609
1.104014874,0.002497371
1.106041789,0.002504198
1.108076334,0.002508671
1.110018015,0.002513331
1.112061024,0.002519239
1.114101648,0.002524165
1.116099954,0.002529058
1.117894173,0.002532812
1.119937778,0.002537982
1.121902466,0.002542822
1.124112248,0.002547652
1.125924945,0.002552237
1.12800014,0.002557023
1.129983306,0.002562016
1.131980658,0.002565585
1.133995533,0.002570901
1.136083126,0.002575407
1.137907267,0.002578385
1.139991522,0.0025827
1.142066956,0.002588352
1.143974066,0.00259149
1.145939589,0.002596295
1.148052216,0.002601091
1.150073528,0.002605384
1.152001619,0.002608275
1.15398562,0.002612505
1.155942321,0.002616128
1.158064842,0.002621508
1.159987211,0.002624976
1.162040114,0.002629477
1.16400075,0.00263363
1.166072369,0.002637429
1.168004274,0.002641801
1.169964552,0.002643998
1.171905994,0.002647831
1.174027443,0.002651838
1.175984144,0.002655609
1.178100944,0.002660719
1.179876447,0.002663322
1.182014823,0.002667923
1.184143901,0.00267145
1.186039448,0.00267535
1.188035846,0.002678544
1.190113187,0.002682631
1.191940427,0.002685258
1.194004774,0.002689477
1.195907116,0.002693679
1.198045492,0.002697492
1.199995637,0.002701096
1.202015638,0.002703462
1.204009056,0.002708187
1.206029058,0.002711529
1.208097935,0.002716124
1.210112095,0.00271943
1.212057114,0.002723223
1.214131236,0.002727348
1.216049075,0.002730729
1.218013048,0.002733832
1.220151424,0.002738013
1.222008824,0.002741485
1.22399354,0.002745133
1.226192355,0.002750138
1.227894187,0.002752753
1.230043054,0.002757845
1.232156754,0.002763084
1.234133244,0.002766327
1.23593986,0.002768772
1.238216639,0.002774786
1.240163088,0.002780039
1.242001534,0.002783284
1.24406743,0.002787995
1.246035218,0.002792209
1.247934103,0.002796137
1.249971628,0.002801077
1.251909494,0.002805825
1.253922939,0.002810268
1.255984783,0.002816027
1.258037567,0.002821318
1.260139823,0.002827273
1.262209296,0.002832909
1.264119029,0.002837428
1.266076565,0.002842749
1.268025279,0.002848594
1.269925117,0.002853814
1.272048473,0.002860724
1.273984909,0.002865977
1.275985718,0.00287259
1.278208017,0.002880405
1.280100226,0.002886203
1.282099009,0.002893349
1.283997416,0.002899709
1.285997987,0.002907343
1.288070321,0.002914605
1.290153146,0.002922294
1.291905761,0.002928652
1.294031739,0.002937411
1.295978665,0.002945482
1.298240304,0.002955087
1.300041437,0.002963043
1.30213201,0.002971727
1.304114819,0.002981123
1.306096792,0.002990874
1.307953119,0.002998232
1.310152054,0.003010156
1.31203711,0.003018562
1.314035654,0.003029648
1.315995812,0.003039819
1.318071723,0.00305163
1.320020676,0.003061187
1.32198751,0.003073544
1.324032545,0.003084776
1.326119542,0.003097811
1.32810533,0.003109863
1.330012202,0.003121844
1.332057953,0.003135007
1.334090114,0.003148023
1.33594346,0.003161065
1.338171244,0.003176598
1.340038419,0.003189493
1.342118621,0.003204414
1.343932629,0.003217955
1.346069455,0.003233894
1.348044276,0.003250394
1.349996328,0.003265695
1.35218811,0.003282793
1.354234695,0.003299457
1.355979562,0.003315858
1.358156323,0.003334666
1.360139012,0.003351841
1.362125039,0.003370389
1.364103675,0.003389263
1.365987659,0.003407307
1.368129849,0.003427485
1.370065451,0.003448121
1.372054458,0.003468177
1.374123454,0.003490163
1.376044512,0.003511215
1.378015161,0.003532513
1.380092382,0.003556011
1.382075787,0.00357881
1.38399601,0.003601363
1.386121988,0.003627748
1.387941718,0.003651154
1.389901996,0.003676231
1.391979337,0.00370269
1.394104838,0.003729808
1.395936728,0.003756356
1.398139954,0.003786079
1.399913073,0.003812901
1.401981711,0.003841668
1.404068589,0.003872746
1.406017661,0.003903
1.408082843,0.003934624
1.410083652,0.003967284
1.411961317,0.00399927
1.414138317,0.004033697
1.41603601,0.004066066
1.418022752,0.004102358
1.420028806,0.004138114
1.42208004,0.004174373
1.424060345,0.004211996
1.426016331,0.004250122
1.427992702,0.004289294
1.43009758,0.0043302
1.432185769,0.004371298
1.433967471,0.004411975
1.435977817,0.004455249
1.438058019,0.004499899
1.44010663,0.004544492
1.442041039,0.004590422
1.443945408,0.004635882
1.446074128,0.004683578
1.448076367,0.00473214
1.450104475,0.00478271
1.452097058,0.004832606
1.454058886,0.004883522
1.455951214,0.004936063
1.458158851,0.004989641
1.460134149,0.005045261
1.462129474,0.005099934
1.46404624,0.005157054
1.465956688,0.00521418
1.468008757,0.005273063
1.469913125,0.005333037
1.471933246,0.005394465
1.474043965,0.005457019
1.475819826,0.00551991
1.478091359,0.005586191
1.480046272,0.005651046
1.482214451,0.00571904
1.48404789,0.005786534
1.486040592,0.005854712
1.487985015,0.005925964
1.489918709,0.005997151
1.492144585,0.006069561
1.494133711,0.006144018
1.495996952,0.006218357
1.498096943,0.006294392
1.500068665,0.006372472
1.502028108,0.006450441
1.503921747,0.006531636
1.506134272,0.006613519
1.507981062,0.006694157
1.510088086,0.006778865
1.511856794,0.006862738
1.514169574,0.006950682
1.516006231,0.007036457
1.51816833,0.007124959
1.519898295,0.007214866
1.52205348,0.007306071
1.524062037,0.007399182
1.526068091,0.007492122
1.528075457,0.007587418
