10 mV/s,,,20 mV/s,,,50 mV/s,,,100 mV/s,
電位,電流,,電位,電流,,電位,電流,,電位,電流
0.05361291,5.31762E-09,,0.106952593,1.00506E-08,,0.267145216,2.43511E-08,,0.466727465,-4.67328E-08
0.054592956,5.28594E-09,,0.108982496,1.00527E-08,,0.272147357,2.43466E-08,,0.456903756,-4.66682E-08
0.055589076,5.28721E-09,,0.110972874,1.00411E-08,,0.277210921,2.43784E-08,,0.446680307,-4.68157E-08
0.056630399,5.2879E-09,,0.112990588,1.00375E-08,,0.282127857,2.43509E-08,,0.436909556,-4.67027E-08
0.057598732,5.30697E-09,,0.114969067,1.00821E-08,,0.287139982,2.43389E-08,,0.426573157,-4.69626E-08
0.058612194,5.25279E-09,,0.116952151,1.00269E-08,,0.292090595,2.42991E-08,,0.416782022,-4.6855E-08
0.059614047,5.29829E-09,,0.118958265,1.00387E-08,,0.297159791,2.43706E-08,,0.407004803,-4.67048E-08
0.060591668,5.26707E-09,,0.121020459,1.00871E-08,,0.302143037,2.43725E-08,,0.396613002,-4.6935E-08
0.061663013,5.35958E-09,,0.12302129,1.00831E-08,,0.307108402,2.43391E-08,,0.386971354,-4.67261E-08
0.06257502,5.27129E-09,,0.124940358,9.98852E-09,,0.312149286,2.433E-08,,0.376938045,-4.67228E-08
0.063613109,5.31498E-09,,0.127012849,1.00906E-08,,0.317115605,2.4299E-08,,0.366792321,-4.68173E-08
0.064624876,5.26485E-09,,0.128994763,1.00024E-08,,0.322121114,2.43557E-08,,0.356734693,-4.68891E-08
0.065634087,5.30445E-09,,0.13100405,1.00908E-08,,0.3271963,2.43936E-08,,0.34689495,-4.67658E-08
0.066623904,5.3099E-09,,0.133037478,1.00876E-08,,0.332162112,2.43487E-08,,0.336774766,-4.68517E-08
0.067633934,5.33163E-09,,0.135007769,1.00481E-08,,0.337118715,2.43277E-08,,0.326800019,-4.68342E-08
0.068612494,5.28262E-09,,0.136984155,1.00127E-08,,0.342210025,2.43767E-08,,0.316780448,-4.68494E-08
0.069658339,5.34634E-09,,0.138960317,1.0066E-08,,0.347145587,2.43769E-08,,0.30675,-4.68507E-08
0.07063175,5.27991E-09,,0.140951231,1.00045E-08,,0.352189243,2.43414E-08,,0.29671675,-4.69492E-08
0.071637377,5.32742E-09,,0.143015191,1.00712E-08,,0.357301354,2.44248E-08,,0.286648571,-4.69522E-08
0.072641097,5.30723E-09,,0.144951403,1.00224E-08,,0.362164676,2.43513E-08,,0.276727945,-4.69063E-08
0.073635019,5.30822E-09,,0.147059739,1.01217E-08,,0.367190808,2.43583E-08,,0.266723156,-4.69167E-08
0.074643977,5.29122E-09,,0.148979351,1.00186E-08,,0.372194618,2.43426E-08,,0.256722361,-4.69358E-08
0.075640999,5.32383E-09,,0.151053339,1.01074E-08,,0.37713778,2.429E-08,,0.246729255,-4.68886E-08
0.07659319,5.23197E-09,,0.153015286,1.00373E-08,,0.382143319,2.43608E-08,,0.236743614,-4.69127E-08
0.077639922,5.32476E-09,,0.154991955,1.00588E-08,,0.387186617,2.4364E-08,,0.226681501,-4.69289E-08
0.078621194,5.27429E-09,,0.156992778,1.00311E-08,,0.392162323,2.4331E-08,,0.216697365,-4.69259E-08
0.079612069,5.30313E-09,,0.159002468,1.00684E-08,,0.397223592,2.43628E-08,,0.206658527,-4.69477E-08
0.080620654,5.26537E-09,,0.161015123,1.00628E-08,,0.402177274,2.43489E-08,,0.196640939,-4.69492E-08
0.081600077,5.29858E-09,,0.163039565,1.00812E-08,,0.407176226,2.43786E-08,,0.186635822,-4.694E-08
0.08262486,5.31459E-09,,0.165022671,1.00544E-08,,0.412151784,2.42976E-08,,0.176732302,-4.68871E-08
0.083615117,5.32045E-09,,0.167046025,1.0111E-08,,0.417199701,2.43642E-08,,0.16666466,-4.69342E-08
0.084618106,5.26824E-09,,0.169016242,1.0044E-08,,0.422235638,2.43954E-08,,0.156678468,-4.69216E-08
0.085628264,5.33297E-09,,0.171055153,1.00892E-08,,0.427219421,2.43624E-08,,0.146705031,-4.69253E-08
0.086615384,5.26577E-09,,0.173043862,1.00694E-08,,0.432207555,2.43885E-08,,0.136706367,-4.69375E-08
0.087600224,5.29211E-09,,0.175018936,1.00853E-08,,0.437184721,2.43286E-08,,0.126682013,-4.68989E-08
0.088673413,5.31493E-09,,0.177029476,1.00872E-08,,0.442163944,2.43462E-08,,0.11665491,-4.69637E-08
0.08962363,5.32805E-09,,0.179021671,1.00903E-08,,0.447189808,2.43788E-08,,0.106674969,-4.69228E-08
0.090606324,5.28945E-09,,0.181049198,1.00736E-08,,0.45220086,2.43617E-08,,0.096670024,-4.69466E-08
0.091576159,5.26544E-09,,0.183037698,1.00601E-08,,0.457169592,2.43114E-08,,0.086637303,-4.69474E-08
0.092607692,5.25423E-09,,0.185034797,1.00756E-08,,0.4622747,2.43857E-08,,0.076678336,-4.69144E-08
0.093656175,5.33714E-09,,0.18700999,1.00747E-08,,0.467142791,2.43238E-08,,0.066933423,-4.67754E-08
0.094603464,5.25355E-09,,0.189037442,1.00607E-08,,0.472230047,2.43632E-08,,0.056650914,-4.69344E-08
0.095644057,5.35818E-09,,0.191017747,1.00808E-08,,0.477235943,2.43472E-08,,0.046679366,-4.69135E-08
0.096650749,5.31504E-09,,0.193021506,1.00274E-08,,0.482297957,2.44102E-08,,0.036633477,-4.69349E-08
0.097667523,5.33917E-09,,0.195047125,1.01204E-08,,0.48721382,2.43721E-08,,0.026600847,-4.69665E-08
0.098627269,5.28814E-09,,0.197021052,1.00673E-08,,0.492180914,2.43395E-08,,0.016631819,-4.6991E-08
0.099596836,5.31168E-09,,0.199022919,1.01048E-08,,0.497241914,2.43239E-08,,0.006604864,-4.69723E-08
0.100651681,5.28694E-09,,0.2010158,1.00121E-08,,0.498642743,-2.16394E-08,,,
0.101624623,5.31169E-09,,0.203116328,1.01287E-08,,0.493521541,-2.29469E-08,,,
0.102610417,5.24664E-09,,0.205060303,1.00584E-08,,0.488583088,-2.30075E-08,,,
0.103650324,5.34545E-09,,0.207047537,1.00848E-08,,0.483563691,-2.30517E-08,,,
0.10464111,5.31063E-09,,0.209022,1.00087E-08,,0.478585243,-2.3093E-08,,,
0.10559877,5.29071E-09,,0.21104835,1.01063E-08,,0.473554134,-2.31233E-08,,,
0.106622852,5.30469E-09,,0.213053539,1.00781E-08,,0.468584597,-2.30981E-08,,,
0.1075655,5.26771E-09,,0.215003714,1.0078E-08,,0.463591963,-2.31213E-08,,,
0.108656265,5.25701E-09,,0.217067376,1.00727E-08,,0.458573937,-2.3129E-08,,,
0.109621689,5.31209E-09,,0.219048187,1.0088E-08,,0.45357573,-2.31378E-08,,,
0.110654049,5.2854E-09,,0.221015707,1.0048E-08,,0.448560268,-2.31119E-08,,,
0.111633658,5.32602E-09,,0.223023996,1.00677E-08,,0.44352603,-2.3168E-08,,,
0.112667918,5.30983E-09,,0.225062728,1.00327E-08,,0.438636571,-2.31293E-08,,,
0.113640197,5.33186E-09,,0.227030367,1.006E-08,,0.433619857,-2.31165E-08,,,
0.114629343,5.29006E-09,,0.229058772,1.00548E-08,,0.42859742,-2.30958E-08,,,
0.115680054,5.33202E-09,,0.231057391,1.00701E-08,,0.423554748,-2.31442E-08,,,
0.116628982,5.23296E-09,,0.23305288,1.00577E-08,,0.418588758,-2.31503E-08,,,
0.117671274,5.3419E-09,,0.23501341,1.00704E-08,,0.413561046,-2.31698E-08,,,
0.118623704,5.27106E-09,,0.237064913,1.0069E-08,,0.408555239,-2.31426E-08,,,
0.119643293,5.30009E-09,,0.239085823,1.01057E-08,,0.403578639,-2.31652E-08,,,
0.120681822,5.28205E-09,,0.241057083,1.0037E-08,,0.398524076,-2.3202E-08,,,
0.121617019,5.31748E-09,,0.24308677,1.00842E-08,,0.393578649,-2.31716E-08,,,
