
,t,E,I,assortment
,11.4,-0.433130979537964,-4.12545949220657E-5,A
,11.5,-0.428082197904587,-4.0202159434557E-5,A
,11.6,-0.423053860664368,-3.9178192615509E-5,A
,11.7,-0.418153375387192,-3.81754599511623E-5,A
,11.8,-0.413057744503021,-3.72002758085728E-5,A
,11.9,-0.408177047967911,-3.62531580030918E-5,A
,12.0,-0.403101414442062,-3.53301353752613E-5,A
,12.1,-0.398126125335693,-3.44171933829784E-5,A
,12.2,-0.393140316009521,-3.35282124578953E-5,A
,12.3,-0.388082057237625,-3.26518639922142E-5,A
,12.4,-0.383065670728683,-3.17896269261837E-5,A
,12.5,-0.378104776144028,-3.09435985982418E-5,A
,12.6,-0.37316370010376,-3.01162898540497E-5,A
,12.7,-0.368104368448257,-2.92939767241478E-5,A
,12.8,-0.363188773393631,-2.84966379404068E-5,A
,12.9,-0.358111083507538,-2.76983585208654E-5,A
,13.0,-0.35312694311142,-2.69170589745045E-5,A
,13.1,-0.348099499940872,-2.61530485004187E-5,A
,13.2,-0.343098670244217,-2.53981966525316E-5,A
,13.3,-0.338121592998505,-2.46598534286022E-5,A
,13.4,-0.333155632019043,-2.3930573835969E-5,A
,13.5,-0.32812774181366,-2.32103019952774E-5,A
,13.6,-0.323082029819489,-2.24934164434671E-5,A
,13.7,-0.318140059709549,-2.17978395521641E-5,A
,13.8,-0.313068509101868,-2.11038179695606E-5,A
,13.9,-0.308132469654083,-2.04287860542536E-5,A
,14.0,-0.303098559379578,-1.97574943304062E-5,A
,14.1,-0.298071056604385,-1.90982073545456E-5,A
,14.2,-0.293136745691299,-1.8449118360877E-5,A
,14.3,-0.288121223449707,-1.78123041987419E-5,A
,14.4,-0.28309640288353,-1.71785261482E-5,A
,14.5,-0.278031855821609,-1.65562201291323E-5,A
,14.6,-0.273128062486649,-1.59442666918039E-5,A
,14.7,-0.268094539642334,-1.53468260541558E-5,A
,14.8,-0.263097614049911,-1.47499796003103E-5,A
,14.9,-0.258158951997757,-1.41624603420496E-5,A
,15.0,-0.253046125173569,-1.35730607435107E-5,A
,15.1,-0.248194575309753,-1.30102578550577E-5,A
,15.2,-0.243050560355186,-1.24385403469205E-5,A
,15.3,-0.23808827996254,-1.18793426081538E-5,A
,15.4,-0.233085229992867,-1.13273113965988E-5,A
,15.5,-0.228141888976097,-1.07877729460597E-5,A
,15.6,-0.223082780838013,-1.0236551053822E-5,A
,15.7,-0.218158215284348,-9.70890652388334E-6,A
,15.8,-0.21301580965519,-9.169259108603E-6,A
,15.9,-0.208033591508865,-8.6477305740118E-6,A
,16.0,-0.203127026557922,-8.13391339033842E-6,A
,16.1,-0.198074340820313,-7.61608872562647E-6,A
,16.2,-0.19312059879303,-7.1090878918767E-6,A
,16.3,-0.188078641891479,-6.60040322691202E-6,A
,16.4,-0.183071121573448,-6.09917193651199E-6,A
,16.5,-0.178095325827599,-5.60415908694267E-6,A
,16.6,-0.173090502619743,-5.11301960796118E-6,A
,16.7,-0.168086811900139,-4.62970742955804E-6,A
,16.8,-0.163058459758759,-4.14770655333996E-6,A
,16.9,-0.15807431936264,-3.66810732521117E-6,A
,17.0,-0.153082713484764,-3.19813750684261E-6,A
,17.1,-0.148112058639526,-2.7391267940402E-6,A
,17.2,-0.143094569444656,-2.2809433285147E-6,A
,17.3,-0.138099744915962,-1.83004920836538E-6,A
,17.4,-0.133121058344841,-1.38792803045362E-6,A
,17.5,-0.128035336732864,-9.5679285004735E-7,A
,17.6,-0.123148165643215,-5.40548004209995E-7,A
,17.7,-0.118081219494343,-1.25060745631345E-7,A
,17.8,-0.113085232675076,2.68671807134524E-7,A
,17.9,-0.108107969164848,6.4474280225113E-7,A
,18.0,-0.103081412613392,1.00651464890689E-6,A
,18.1,-0.0980819910764694,1.34702585637569E-6,A
,18.2,-0.0930006951093674,1.67275022249669E-6,A
,18.3,-0.0880989506840706,1.96365849114954E-6,A
,18.4,-0.0830774158239365,2.23992951214314E-6,A
,18.5,-0.0781087875366211,2.49211420305073E-6,A
,18.6,-0.0730522274971008,2.72935396060348E-6,A
,18.7,-0.0681176856160164,2.93240300379694E-6,A
,18.8,-0.0631228014826775,3.12799820676446E-6,A
,18.9,-0.058072492480278,3.31006967462599E-6,A
,19.0,-0.0530906207859516,3.47301573492587E-6,A
,19.1,-0.048059493303299,3.62149835564196E-6,A
,19.2,-0.0430946610867977,3.75437992624938E-6,A
,19.3,-0.0381474643945694,3.87862743809819E-6,A
,19.4,-0.0331048965454102,4.0009543299675E-6,A
,19.5,-0.0281039774417877,4.10795491188765E-6,A
,19.6,-0.0231182221323252,4.21122647821903E-6,A
,19.7,-0.0180724989622831,4.31481562554836E-6,A
,19.8,-0.0130733344703913,4.40402841195464E-6,A
,19.9,-0.00805096235126257,4.49615623801947E-6,A
,20.0,-0.00302172242663801,4.57883486524224E-6,A

