
,t,E,I,assortment
,9.9,-0.491646438837051,-4.94059547781944E-5,C
,10.0,-0.496705532073975,-5.0018135458231E-5,C
,10.1,-0.498153269290924,-4.66906763613224E-5,A
,10.2,-0.492997735738754,-4.4167585670948E-5,A
,10.3,-0.48800066113472,-4.22846302390099E-5,A
,10.4,-0.483037561178207,-4.06653769314289E-5,A
,10.5,-0.478065222501755,-3.91890034079552E-5,A
,10.6,-0.473129898309708,-3.78472208976746E-5,A
,10.7,-0.468123912811279,-3.65888252854347E-5,A
,10.8,-0.463070571422577,-3.54013070464134E-5,A
,10.9,-0.458123564720154,-3.42836491763592E-5,A
,11.0,-0.453045517206192,-3.31971533596516E-5,A
,11.1,-0.448223739862442,-3.21866311132908E-5,A
,11.2,-0.443152397871017,-3.11804339289665E-5,A
,11.3,-0.438084453344345,-3.02258618175983E-5,A
,11.4,-0.433148324489594,-2.92884185910225E-5,A
,11.5,-0.428154855966568,-2.83973719924688E-5,A
,11.6,-0.42311903834343,-2.75037363171577E-5,A
,11.7,-0.418170630931854,-2.66606267541647E-5,A
,11.8,-0.413142651319504,-2.58130598813295E-5,A
,11.9,-0.408149093389511,-2.50081326812506E-5,A
,12.0,-0.403055310249329,-2.41941958665848E-5,A
,12.1,-0.398166447877884,-2.34281234443188E-5,A
,12.2,-0.393072873353958,-2.26454362273216E-5,A
,12.3,-0.388074576854706,-2.19045709818602E-5,A
,12.4,-0.383132189512253,-2.11617853492498E-5,A
,12.5,-0.37822014093399,-2.04498153179884E-5,A
,12.6,-0.372987270355225,-1.97206661105156E-5,A
,12.7,-0.368126511573792,-1.90406069159508E-5,A
,12.8,-0.363104194402695,-1.83509532362223E-5,A
,12.9,-0.358171671628952,-1.76931358873844E-5,A
,13.0,-0.353185921907425,-1.70329008251429E-5,A
,13.1,-0.34814316034317,-1.63949728012085E-5,A
,13.2,-0.343174278736115,-1.57612971961498E-5,A
,13.3,-0.338100910186768,-1.51406964287162E-5,A
,13.4,-0.333145052194595,-1.45332468673587E-5,A
,13.5,-0.328173458576202,-1.39390984550118E-5,A
,13.6,-0.323035329580307,-1.33452648296952E-5,A
,13.7,-0.318167328834534,-1.27800116315484E-5,A
,13.8,-0.313098669052124,-1.22092375531793E-5,A
,13.9,-0.30807888507843,-1.16605516523123E-5,A
,14.0,-0.303118646144867,-1.11198490485549E-5,A
,14.1,-0.298137933015823,-1.05904145166278E-5,A
,14.2,-0.293119341135025,-1.00692305713892E-5,A
,14.3,-0.288072764873505,-9.5595745369792E-6,A
,14.4,-0.283149302005768,-9.06800292432308E-6,A
,14.5,-0.278057456016541,-8.57322756201029E-6,A
,14.6,-0.273153454065323,-8.10279045253992E-6,A
,14.7,-0.268082946538925,-7.63516873121262E-6,A
,14.8,-0.263077318668365,-7.17654637992382E-6,A
,14.9,-0.258139461278915,-6.73165079206228E-6,A
,15.0,-0.253140449523926,-6.29643350839615E-6,A
,15.1,-0.248027160763741,-5.86723349988461E-6,A
,15.2,-0.243038460612297,-5.45187806710601E-6,A
,15.3,-0.23811648786068,-5.04690082743764E-6,A
,15.4,-0.233088538050652,-4.64726611971855E-6,A
,15.5,-0.228093519806862,-4.26112068817019E-6,A
,15.6,-0.223122909665108,-3.88662400655448E-6,A
,15.7,-0.218085393309593,-3.51126142777503E-6,A
,15.8,-0.213127598166466,-3.15248174592853E-6,A
,15.9,-0.208087608218193,-2.79888161458075E-6,A
,16.0,-0.20305110514164,-2.45441682636738E-6,A
,16.1,-0.198097139596939,-2.11739796213806E-6,A
,16.2,-0.193024232983589,-1.79049803409725E-6,A
,16.3,-0.188172668218613,-1.48240465205163E-6,A
,16.4,-0.183128401637077,-1.16784544661641E-6,A
,16.5,-0.178059667348862,-8.63002671394497E-7,A
,16.6,-0.173040583729744,-5.70285366848111E-7,A
,16.7,-0.168141663074493,-2.93063494609669E-7,A
,16.8,-0.163110211491585,-1.6354530089302E-8,A
,16.9,-0.158123984932899,2.55774357356131E-7,A
,17.0,-0.153123989701271,5.13146980665624E-7,A
,17.1,-0.148090600967407,7.59116839617491E-7,A
,17.2,-0.142995357513428,1.01279187947512E-6,A
,17.3,-0.138064295053482,1.2439857237041E-6,A
