
,t,E,I,assortment
,11.4,-0.433076053857803,-2.29894127696753E-5,A
,11.5,-0.428170323371887,-2.23344136029482E-5,A
,11.6,-0.42317396402359,-2.17056032270193E-5,A
,11.7,-0.418115824460983,-2.11002733558416E-5,A
,11.8,-0.413176983594894,-2.05232203006744E-5,A
,11.9,-0.408195227384567,-1.99735052883625E-5,A
,12.0,-0.40318039059639,-1.94384399801493E-5,A
,12.1,-0.398109376430511,-1.89207941293716E-5,A
,12.2,-0.393186807632446,-1.84288751333952E-5,A
,12.3,-0.388217806816101,-1.79493818432093E-5,A
,12.4,-0.383070826530457,-1.7475999891758E-5,A
,12.5,-0.378206700086594,-1.70309562236071E-5,A
,12.6,-0.373170912265778,-1.65922269225121E-5,A
,12.7,-0.368102073669434,-1.61589998751879E-5,A
,12.8,-0.363082319498062,-1.57453827559948E-5,A
,12.9,-0.358150839805603,-1.53425820171833E-5,A
,13.0,-0.353143483400345,-1.4946504496038E-5,A
,13.1,-0.348171442747116,-1.45676489919424E-5,A
,13.2,-0.343149662017822,-1.41857033595443E-5,A
,13.3,-0.338195145130157,-1.38210132718086E-5,A
,13.4,-0.333073943853378,-1.34508367627859E-5,A
,13.5,-0.32821586728096,-1.31052900105715E-5,A
,13.6,-0.323146313428879,-1.27537762746215E-5,A
,13.7,-0.318135589361191,-1.24135697260499E-5,A
,13.8,-0.313157021999359,-1.20730185881257E-5,A
,13.9,-0.308089762926102,-1.17406416684389E-5,A
,14.0,-0.303125649690628,-1.14128449931741E-5,A
,14.1,-0.298148036003113,-1.10924681648612E-5,A
,14.2,-0.293159246444702,-1.07688438147306E-5,A
,14.3,-0.288181662559509,-1.0454161092639E-5,A
,14.4,-0.28313222527504,-1.013099309057E-5,A
,14.5,-0.278194069862366,-9.82229318469763E-6,A
,14.6,-0.273126035928726,-9.50875785201788E-6,A
,14.7,-0.268155515193939,-9.19916573911905E-6,A
,14.8,-0.263225466012955,-8.89428332448006E-6,A
,14.9,-0.258190184831619,-8.58439970761538E-6,A
,15.0,-0.253082573413849,-8.26742220669985E-6,A
,15.1,-0.24808706343174,-7.96211510896683E-6,A
,15.2,-0.243136167526245,-7.65515398234129E-6,A
,15.3,-0.238139092922211,-7.34548596665263E-6,A
,15.4,-0.233071029186249,-7.03321909531951E-6,A
,15.5,-0.228125244379044,-6.72562094405293E-6,A
,15.6,-0.223087936639786,-6.4081447198987E-6,A
,15.7,-0.218130499124527,-6.09941780567169E-6,A
,15.8,-0.21307647228241,-5.77947730198503E-6,A
,15.9,-0.208088159561157,-5.46429725363851E-6,A
,16.0,-0.203136816620827,-5.15174679458141E-6,A
,16.1,-0.198102474212646,-4.82896249741316E-6,A
,16.2,-0.193210631608963,-4.51165437698364E-6,A
,16.3,-0.188109263777733,-4.18787775561213E-6,A
,16.4,-0.183145210146904,-3.86932934634387E-6,A
,16.5,-0.178077086806297,-3.54458554647863E-6,A
,16.6,-0.173078685998917,-3.22121987119317E-6,A
,16.7,-0.168084025382996,-2.90061114355922E-6,A
,16.8,-0.163107842206955,-2.58420617319643E-6,A
,16.9,-0.158066973090172,-2.26253876462579E-6,A
,17.0,-0.153108939528465,-1.95116561371833E-6,A
,17.1,-0.148083344101906,-1.6375615959987E-6,A
,17.2,-0.143060117959976,-1.3268287293613E-6,A
,17.3,-0.138077348470688,-1.02176237851381E-6,A
,17.4,-0.13311193883419,-7.24475481547415E-7,A
,17.5,-0.128070160746574,-4.25913312938064E-7,A
,17.6,-0.123056411743164,-1.39711861265823E-7,A
,17.7,-0.11810676753521,1.41944226925261E-7,A
,17.8,-0.11309190839529,4.13997477153316E-7,A
,17.9,-0.1080292314291,6.81797100696713E-7,A
,18.0,-0.103103175759315,9.32519149500877E-7,A
,18.1,-0.0980919897556305,1.17757159750909E-6,A
,18.2,-0.0930797830224037,1.40954228118062E-6,A
,18.3,-0.0880869850516319,1.62959692534059E-6,A
,18.4,-0.0830664560198784,1.83709594421089E-6,A
,18.5,-0.0780501887202263,2.03252816572785E-6,A
,18.6,-0.0730415061116219,2.21382430754602E-6,A
,18.7,-0.0681199729442596,2.37149395979941E-6,A
,18.8,-0.0630949735641479,2.52787442877889E-6,A
,18.9,-0.0580878965556622,2.66584916971624E-6,A
,19.0,-0.0530537478625774,2.79549695551395E-6,A
,19.1,-0.0479508824646473,2.91529670357704E-6,A
,19.2,-0.0430266819894314,3.01507138647139E-6,A
,19.3,-0.0380853563547134,3.113211132586E-6,A
,19.4,-0.0331411138176918,3.19892424158752E-6,A
,19.5,-0.0280748009681702,3.28190624713898E-6,A
,19.6,-0.0229864902794361,3.35932988673449E-6,A
,19.7,-0.0181731320917606,3.4192253369838E-6,A
,19.8,-0.0130876284092665,3.48694412969053E-6,A
,19.9,-0.00818336103111506,3.54365725070238E-6,A
,20.0,-0.00311715574935079,3.59512213617563E-6,A

