,t,E,I,assortment
,5.8,-0.286555409431458,-4.58329990506172E-5,C
,5.9,-0.291648089885712,-4.61936332285404E-5,C
,6.0,-0.296620190143585,-4.65481206774712E-5,C
,6.1,-0.301693856716156,-4.68815416097641E-5,C
,6.2,-0.306637287139893,-4.72561605274677E-5,C
,6.3,-0.311663687229156,-4.7569889575243E-5,C
,6.4,-0.316640675067902,-4.79747653007507E-5,C
,6.5,-0.321657299995422,-4.83003780245781E-5,C
,6.6,-0.326648503541946,-4.86131943762302E-5,C
,6.7,-0.33167964220047,-4.88979071378708E-5,C
,6.8,-0.336641401052475,-4.92308363318443E-5,C
,6.9,-0.341627925634384,-4.95382584631443E-5,C
,7.0,-0.346643805503845,-4.99093011021614E-5,C
,7.1,-0.351672291755676,-5.03294505178928E-5,C
,7.2,-0.356669396162033,-5.07309697568417E-5,C
,7.3,-0.361633569002151,-5.11444136500359E-5,C
,7.4,-0.366657555103302,-5.15669584274292E-5,C
,7.5,-0.371605008840561,-5.1976203918457E-5,C
,7.6,-0.376657068729401,-5.2376888692379E-5,C
,7.7,-0.381651937961578,-5.28172962367535E-5,C
,7.8,-0.386642605066299,-5.32149076461792E-5,C
,7.9,-0.391656219959259,-5.36405704915524E-5,C
,8.0,-0.396592259407043,-5.40393553674221E-5,C
,8.1,-0.401570677757263,-5.44825941324234E-5,C
,8.2,-0.406678557395935,-5.48720099031925E-5,C
,8.3,-0.411669313907623,-5.52936382591724E-5,C
,8.4,-0.416686922311783,-5.56543916463852E-5,C
,8.5,-0.421587705612183,-5.60604147613049E-5,C
,8.6,-0.426670372486115,-5.64163401722908E-5,C
,8.7,-0.43170827627182,-5.68508207798004E-5,C
,8.8,-0.436684966087341,-5.72493895888329E-5,C
,8.9,-0.441680639982224,-5.77050372958183E-5,C
,9.0,-0.446725159883499,-5.81342726945877E-5,C
,9.1,-0.451665818691254,-5.86205124855042E-5,C
,9.2,-0.456684410572052,-5.90892992913723E-5,C
,9.3,-0.461745083332062,-5.95982447266579E-5,C
,9.4,-0.466726452112198,-6.00935705006123E-5,C
,9.5,-0.47171425819397,-6.05795197188854E-5,C
,9.6,-0.476688206195831,-6.11050687730312E-5,C
,9.7,-0.481713175773621,-6.15958943963051E-5,C
,9.8,-0.486718773841858,-6.20517916977406E-5,C
,9.9,-0.491667479276657,-6.24313168227673E-5,C
,10.0,-0.496734768152237,-6.2898114323616E-5,C
,10.1,-0.498084664344788,-5.92638105154037E-5,A
,10.2,-0.493017077445984,-5.6456983089447E-5,A
,10.3,-0.488028556108475,-5.44011667370796E-5,A
,10.4,-0.483063399791718,-5.26516512036324E-5,A
,10.5,-0.478104829788208,-5.11151067912579E-5,A
,10.6,-0.473018288612366,-4.96828332543373E-5,A
,10.7,-0.46808585524559,-4.83881086111069E-5,A
,10.8,-0.463080108165741,-4.71134819090366E-5,A
,10.9,-0.458126932382584,-4.58156578242779E-5,A
,11.0,-0.453103512525558,-4.43605408072472E-5,A
,11.1,-0.448117107152939,-4.2918037623167E-5,A
,11.2,-0.443081140518188,-4.16440851986408E-5,A
,11.3,-0.438069343566895,-4.06186692416668E-5,A
,11.4,-0.433107227087021,-3.96354049444199E-5,A
,11.5,-0.428175151348114,-3.87462489306927E-5,A
,11.6,-0.423117786645889,-3.76265086233616E-5,A
,11.7,-0.418145328760147,-3.64913865923882E-5,A
,11.8,-0.413089990615845,-3.57046127319336E-5,A
,11.9,-0.408078998327255,-3.48912850022316E-5,A
,12.0,-0.40308153629303,-3.41448187828064E-5,A
,12.1,-0.398098081350327,-3.32908928394318E-5,A
,12.2,-0.393061816692352,-3.25041860342026E-5,A
,12.3,-0.388052105903625,-3.15766036510468E-5,A
,12.4,-0.383100867271423,-3.07632442563772E-5,A
,12.5,-0.378112584352493,-3.0044624581933E-5,A
,12.6,-0.373120218515396,-2.93001513928175E-5,A
,12.7,-0.368132621049881,-2.85140238702297E-5,A
,12.8,-0.363078147172928,-2.77293045073748E-5,A
,12.9,-0.358099311590195,-2.69381012767553E-5,A
,13.0,-0.353100806474686,-2.62248981744051E-5,A
,13.1,-0.348109811544418,-2.55241971462965E-5,A
,13.2,-0.343191981315613,-2.48373541980982E-5,A
,13.3,-0.338046669960022,-2.41745486855507E-5,A
,13.4,-0.333104997873306,-2.34971791505814E-5,A
,13.5,-0.328067302703857,-2.28410996496677E-5,A
,13.6,-0.323096483945847,-2.21997424960136E-5,A
,13.7,-0.318020045757294,-2.15477105230093E-5,A
,13.8,-0.313068211078644,-2.09341906011105E-5,A
,13.9,-0.30805766582489,-2.02974788844585E-5,A
,14.0,-0.303050309419632,-1.97000335901976E-5,A
,14.1,-0.298177987337112,-1.90877504646778E-5,A
,14.2,-0.293210744857788,-1.85091719031334E-5,A
,14.3,-0.28804287314415,-1.78879965096712E-5,A
,14.4,-0.283036112785339,-1.73021778464317E-5,A
,14.5,-0.278163969516754,-1.67113430798054E-5,A
