
,t,E,I,assortment
,0.1,0.000705078477039933,5.08045367896557E-5,A
,0.2,0.00260619632899761,5.36862500011921E-5,A
,0.3,0.00460848864167929,5.65745607018471E-5,A
,0.4,0.00663539674133062,5.95564618706703E-5,A
,0.5,0.00859171058982611,6.26321360468864E-5,A
,0.6,0.0106202457100153,6.58093243837357E-5,A
,0.7,0.012523009441793,6.90526962280273E-5,A
,0.8,0.0145834079012275,7.23597630858421E-5,A
,0.9,0.0165990740060806,7.57275074720383E-5,A
,1.0,0.0186298843473196,7.91258215904236E-5,A
,1.1,0.0206929482519627,8.25632438063622E-5,A
,1.2,0.0226268377155066,8.60401839017868E-5,A
,1.3,0.0245674028992653,8.95782560110092E-5,A
,1.4,0.0266504697501659,9.31891053915024E-5,A
,1.5,0.0285823177546263,9.68172550201416E-5,A
,1.6,0.0305516887456179,0.000100519172847271,A
,1.7,0.0326150022447109,0.000104297950863838,A
,1.8,0.0345107987523079,0.000108089417219162,A
,1.9,0.0354949906468391,0.000109975673258305,A
,2.0,0.0354949906468391,0.000109975673258305,A
,2.1,0.0354949906468391,0.000109975673258305,A
,2.2,0.0425018407404423,0.000124764189124107,A
,2.3,0.0445516295731068,0.000128561034798622,A
,2.4,0.0465932264924049,0.00013246051967144,A
,2.5,0.0485942848026752,0.000136389553546906,A
,2.6,0.0505473352968693,0.000140349611639977,A
,2.7,0.0524927042424679,0.000144309222698212,A
,2.8,0.0545602776110172,0.000148386627435684,A
,2.9,0.0565113052725792,0.000152340725064278,A
,3.0,0.0584665313363075,0.000156310766935349,A
,3.1,0.0605258606374264,0.000160338744521141,A
,3.2,0.0625311806797981,0.000164334446191788,A
,3.3,0.0645747259259224,0.000168325290083885,A
,3.4,0.0665374472737312,0.000172280341386795,A
,3.5,0.0685775354504585,0.000176190838217735,A
,3.6,0.0706966370344162,0.000180188789963722,A
,3.7,0.072578564286232,0.000183908805251122,A
,3.8,0.0746110528707504,0.000187705740332603,A
,3.9,0.0767321884632111,0.00019148913025856,A
,4.0,0.078696995973587,0.000195090681314468,A
,4.1,0.0807114765048027,0.000198616653680801,A
,4.2,0.0826731398701668,0.000202097356319427,A
,4.3,0.0847708359360695,0.000205529391765594,A
,4.4,0.0868259444832802,0.000208862692117691,A
,4.5,0.0887631773948669,0.00021200966835022,A
,4.6,0.0908436328172684,0.000215208232402802,A
,4.7,0.0928565338253975,0.00021817521750927,A
,4.8,0.0947911217808723,0.000221020057797432,A
,4.9,0.0968698635697365,0.000223925068974495,A
,5.0,0.0988234281539917,0.000226526498794556,A
,5.1,0.100790619850159,0.000229097157716751,A
,5.2,0.10291913151741,0.000231665700674057,A
,5.3,0.104788862168789,0.000233933165669441,A
,5.4,0.106853842735291,0.0002362110465765,A
,5.5,0.108813904225826,0.000238296255469322,A
,5.6,0.110892027616501,0.000240301176905632,A
,5.7,0.112886346876621,0.000242250233888626,A
,5.8,0.114850014448166,0.000243906483054161,A
,5.9,0.116849303245544,0.000245558619499207,A
,6.0,0.11884243786335,0.000247075870633125,A
,6.1,0.120881706476212,0.000248500257730484,A
,6.2,0.122808188199997,0.000249681085348129,A
,6.3,0.124940849840641,0.000250925600528717,A
,6.4,0.126918166875839,0.000252019912004471,A
,6.5,0.128905326128006,0.000252870798110962,A
,6.6,0.130843609571457,0.000253671705722809,A
,6.7,0.132924467325211,0.000254383206367493,A
,6.8,0.134850278496742,0.000254977583885193,A
,6.9,0.136918321251869,0.0002554951608181,A
,7.0,0.138910636305809,0.000255927443504333,A
,7.1,0.140843406319618,0.000256174921989441,A
,7.2,0.142842695116997,0.000256435811519623,A
,7.3,0.145133405923843,0.000257018953561783,A
,7.4,0.146892875432968,0.000256593436002731,A
,7.5,0.148833110928535,0.000256515860557556,A
,7.6,0.150876775383949,0.000256446659564972,A
,7.7,0.152883306145668,0.000256302207708359,A
,7.8,0.154875189065933,0.000256112843751907,A
,7.9,0.156907394528389,0.000255839556455612,A
,8.0,0.158912628889084,0.000255481481552124,A
,8.1,0.160870715975761,0.000255035072565079,A
,8.2,0.163010790944099,0.000254696488380432,A
,8.3,0.164938673377037,0.000254094332456589,A
,8.4,0.166961446404457,0.000253606349229813,A
,8.5,0.168961063027382,0.00025304850935936,A
,8.6,0.170972496271133,0.000252427130937576,A
,8.7,0.172913879156113,0.000251737684011459,A
,8.8,0.174945294857025,0.000251074105501175,A
,8.9,0.177005812525749,0.000250428676605225,A
,9.0,0.178928956389427,0.000249675512313843,A
,9.1,0.180966511368752,0.000248924061655998,A
,9.2,0.182984158396721,0.000248199164867401,A
,9.3,0.185009405016899,0.000247445687651634,A
,9.4,0.186933115124702,0.000246588289737701,A
,9.5,0.189051315188408,0.000245890632271767,A
,9.6,0.19102942943573,0.000245073810219765,A
,9.7,0.192840531468391,0.000244111999869347,A
,9.8,0.19495116174221,0.000243344381451607,A
,9.9,0.196995675563812,0.000242545649409294,A
,10.0,0.198914483189583,0.000241611436009407,A
,10.1,0.200838670134544,0.000240814477205276,A
,10.2,0.202896818518639,0.00023999160528183,A
,10.3,0.204972833395004,0.000239161193370819,A
,10.4,0.206969723105431,0.000238337501883507,A
,10.5,0.208975732326508,0.000237480834126472,A
,10.6,0.210960358381271,0.000236617922782898,A
,10.7,0.213032200932503,0.000235813215374947,A
,10.8,0.215056970715523,0.000234963580965996,A
,10.9,0.217015981674194,0.000234121680259705,A
,11.0,0.218926072120667,0.000233212411403656,A
,11.1,0.220890566706657,0.000232376351952553,A
,11.2,0.222937375307083,0.000231596514582634,A
,11.3,0.224951058626175,0.000230762213468552,A
,11.4,0.22693033516407,0.000229933649301529,A
,11.5,0.228948518633842,0.000229117959737778,A
,11.6,0.230905070900917,0.000228281155228615,A
,11.7,0.232935130596161,0.000227512612938881,A
,11.8,0.234877169132233,0.000226704657077789,A
,11.9,0.237093165516853,0.000226024806499481,A
,12.0,0.238979369401932,0.000225176081061363,A
,12.1,0.240959361195564,0.000224384605884552,A
,12.2,0.242939680814743,0.00022359511256218,A
,12.3,0.244913130998611,0.000222820222377777,A
,12.4,0.246887654066086,0.000222033724188805,A
,12.5,0.249019771814346,0.000221357718110085,A
,12.6,0.250963449478149,0.000220572531223297,A
,12.7,0.25286129117012,0.000219760045409203,A
,12.8,0.254908621311188,0.000219086483120918,A
,12.9,0.256911784410477,0.000218340769410133,A
,13.0,0.25900411605835,0.00021767170727253,A
,13.1,0.26105198264122,0.000216971024870872,A
,13.2,0.262986302375793,0.00021620637178421,A
,13.3,0.264977723360062,0.000215509712696075,A
,13.4,0.266971498727798,0.000214802235364914,A
,13.5,0.268892735242844,0.000214072063565254,A
,13.6,0.271039515733719,0.000213438838720322,A
,13.7,0.273011684417725,0.000212735861539841,A
,13.8,0.274889528751373,0.00021197871863842,A
,13.9,0.276985168457031,0.000211389824748039,A
,14.0,0.279019802808762,0.000210715442895889,A
,14.1,0.280952721834183,0.00021002385020256,A
,14.2,0.282952338457108,0.000209315121173859,A
,14.3,0.285038530826569,0.00020875295996666,A
,14.4,0.286973923444748,0.000208048477768898,A
,14.5,0.288953721523285,0.000207400590181351,A
,14.6,0.290982753038406,0.00020676925778389,A
,14.7,0.292952954769135,0.000206112682819366,A
,14.8,0.294988602399826,0.000205498054623604,A
,14.9,0.296990841627121,0.000204885900020599,A
,15.0,0.298970371484756,0.0002042316198349,A
,15.1,0.300988107919693,0.000203625276684761,A
,15.2,0.303020507097244,0.000203033715486526,A
,15.3,0.304983675479889,0.000202417150139809,A
,15.4,0.30704328417778,0.000201818466186523,A
,15.5,0.308959007263184,0.000201187878847122,A
,15.6,0.310976594686508,0.000200594589114189,A
,15.7,0.312985420227051,0.000200011178851128,A
,15.8,0.315009981393814,0.000199423909187317,A
,15.9,0.316978305578232,0.000198828026652336,A
,16.0,0.319019615650177,0.00019826751947403,A
,16.1,0.320982098579407,0.000197671040892601,A
,16.2,0.322911739349365,0.000197066605091095,A
,16.3,0.325003772974014,0.000196557939052582,A
,16.4,0.326991379261017,0.000195995211601257,A
,16.5,0.329048693180084,0.00019548037648201,A
,16.6,0.330941736698151,0.000194847479462624,A
,16.7,0.332995176315308,0.000194311261177063,A
,16.8,0.334956169128418,0.000193752869963646,A
,16.9,0.336893111467361,0.00019319874048233,A
,17.0,0.339031130075455,0.000192739501595497,A
,17.1,0.340994328260422,0.000192189529538155,A
,17.2,0.343051970005035,0.000191656053066254,A
,17.3,0.344981789588928,0.000191119119524956,A
,17.4,0.347134560346603,0.000190609782934189,A
,17.5,0.34903958439827,0.000190131619572639,A
,17.6,0.350954473018646,0.000189567282795906,A
,17.7,0.353011161088943,0.000189083948731422,A
,17.8,0.354883253574371,0.000188497096300125,A
,17.9,0.356924206018448,0.000188028916716576,A
,18.0,0.359110087156296,0.000187616586685181,A
,18.1,0.360985398292542,0.000187075361609459,A
,18.2,0.36309152841568,0.000186611354351044,A
,18.3,0.364999800920486,0.000186070248484612,A
,18.4,0.366986393928528,0.000185606002807617,A
,18.5,0.369096368551254,0.000185207143425941,A
,18.6,0.370932221412659,0.00018462398648262,A
,18.7,0.372907608747482,0.000184124886989594,A
,18.8,0.375063717365265,0.000183735862374306,A
,18.9,0.376974910497665,0.000183233603835106,A
,19.0,0.379058569669724,0.000182808622717857,A
,19.1,0.380956083536148,0.00018231263756752,A
,19.2,0.383013397455215,0.000181886821985245,A
,19.3,0.385074347257614,0.000181436166167259,A
,19.4,0.386924982070923,0.0001808952242136,A
,19.5,0.389017850160599,0.00018046298623085,A
,19.6,0.391025871038437,0.000180035546422005,A
,19.7,0.392929464578629,0.000179515391588211,A
,19.8,0.394915670156479,0.000179059147834778,A
,19.9,0.396961987018585,0.000178643405437469,A
,20.0,0.399092108011246,0.000178230211138725,A
,20.1,0.400992095470428,0.000177799388766289,A
,20.2,0.403024077415466,0.0001773991137743,A
,20.3,0.404973238706589,0.000176924958825111,A
,20.4,0.40699627995491,0.000176525607705116,A
,20.5,0.409013003110886,0.000176091656088829,A
,20.6,0.410955250263214,0.000175635635852814,A
,20.7,0.41292604804039,0.000175210297107697,A
,20.8,0.414939761161804,0.000174827352166176,A
,20.9,0.416925966739655,0.000174387276172638,A
,21.0,0.418960958719254,0.000174012511968613,A
,21.1,0.420992881059647,0.000173615679144859,A
,21.2,0.423013299703598,0.000173224613070488,A
,21.3,0.424927026033401,0.000172777906060219,A
,21.4,0.426956355571747,0.000172408387064934,A
,21.5,0.428984880447388,0.000172022208571434,A
,21.6,0.430990129709244,0.000171591117978096,A
,21.7,0.433023869991302,0.000171257495880127,A
,21.8,0.435030966997147,0.000170870363712311,A
,21.9,0.436928540468216,0.000170428723096848,A
,22.0,0.438976109027863,0.000170025452971458,A
,22.1,0.441012561321259,0.000169710576534271,A
,22.2,0.442927867174149,0.000169231161475182,A
,22.3,0.444959163665771,0.000168870285153389,A
,22.4,0.447026133537292,0.000168545842170715,A
,22.5,0.448919206857681,0.000168132528662682,A
,22.6,0.450991988182068,0.000167809829115868,A
,22.7,0.452998399734497,0.000167427942156792,A
,22.8,0.454924911260605,0.000167089834809303,A
,22.9,0.45702189207077,0.000166775465011597,A
,23.0,0.458940088748932,0.000166343718767166,A
,23.1,0.460925966501236,0.000165985777974129,A
,23.2,0.462944030761719,0.000165655910968781,A
,23.3,0.465003907680511,0.000165371462702751,A
,23.4,0.466923534870148,0.000164963766932487,A
,23.5,0.469058662652969,0.00016469769179821,A
,23.6,0.470979481935501,0.000164286032319069,A
,23.7,0.4729945063591,0.000163928657770157,A
,23.8,0.474975228309631,0.000163588955998421,A
,23.9,0.476953715085983,0.000163261666893959,A
,24.0,0.478981077671051,0.000162951499223709,A
,24.1,0.480978041887283,0.000162603914737701,A
,24.2,0.482988804578781,0.000162284374237061,A
,24.3,0.484981685876846,0.000161969795823097,A
,24.4,0.486975491046906,0.00016163557767868,A
,24.5,0.488985776901245,0.000161275148391724,A
,24.6,0.490905582904816,0.000160938382148743,A
,24.7,0.492901653051376,0.000160634055733681,A
,24.8,0.495004713535309,0.000160387575626373,A
,24.9,0.49704447388649,0.000160096287727356,A
