
,t,E,I,assortment
,10.4,0.206856846809387,2.93126050382853E-5,A
,10.5,0.208928793668747,2.91130412369967E-5,A
,10.6,0.210922390222549,2.89188865572214E-5,A
,10.7,0.212940156459808,2.87287179380655E-5,A
,10.8,0.214917615056038,2.85413488745689E-5,A
,10.9,0.216913402080536,2.83588171005249E-5,A
,11.0,0.218908980488777,2.81770695000887E-5,A
,11.1,0.220937281847,2.80104540288448E-5,A
,11.2,0.222899049520493,2.783945761621E-5,A
,11.3,0.224918305873871,2.76730246841908E-5,A
,11.4,0.226871609687805,2.75121405720711E-5,A
,11.5,0.22890393435955,2.73561552166939E-5,A
,11.6,0.230943158268929,2.72066593170166E-5,A
,11.7,0.232870608568192,2.70505771040916E-5,A
,11.8,0.23489998281002,2.69040782004595E-5,A
,11.9,0.236873596906662,2.67588924616575E-5,A
,12.0,0.238994300365448,2.66284476965666E-5,A
,12.1,0.240997657179832,2.64884755015373E-5,A
,12.2,0.24291980266571,2.63527128845453E-5,A
,12.3,0.24490761756897,2.62184366583824E-5,A
,12.4,0.246822074055672,2.60878559201956E-5,A
,12.5,0.248868748545647,2.59566381573677E-5,A
,12.6,0.250993877649307,2.58503183722496E-5,A
,12.7,0.252880811691284,2.57194973528385E-5,A
,12.8,0.254952758550644,2.5609077885747E-5,A
,12.9,0.256906867027283,2.54893638193607E-5,A
,13.0,0.258904755115509,2.53797266632318E-5,A
,13.1,0.260953813791275,2.52725128084421E-5,A
,13.2,0.262952834367752,2.51623541116714E-5,A
,13.3,0.264888137578964,2.50520389527082E-5,A
,13.4,0.266977727413177,2.49553769826889E-5,A
,13.5,0.268895834684372,2.48459316790104E-5,A
,13.6,0.270921438932419,2.47496590018272E-5,A
,13.7,0.272997826337814,2.46556345373392E-5,A
,13.8,0.275022208690643,2.45614256709814E-5,A
,13.9,0.276960730552673,2.44641993194818E-5,A
,14.0,0.278866559267044,2.43643652647734E-5,A
,14.1,0.280878633260727,2.42746043950319E-5,A
,14.2,0.282957136631012,2.41911243647337E-5,A
,14.3,0.284967482089996,2.41036377847195E-5,A
,14.4,0.287001103162766,2.4022039026022E-5,A
,14.5,0.288934826850891,2.39337179809809E-5,A
,14.6,0.290944635868073,2.38510556519032E-5,A
