;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-49747219.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 14:53:21
_RUNTIME = 12.37992
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 10
_2THETA = 20
_KHI = -0.45
_PHI = 0
_X = -13.384
_Y = 0
_Z = 0.674
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
24.234278	13.000000	
24.254537	11.000000	
24.274797	21.000000	
24.295057	13.000000	
24.315316	20.000000	
24.335576	17.000000	
24.355836	15.000000	
24.376095	15.000000	
24.396355	14.000000	
24.416615	16.000000	
24.436875	9.000000	
24.457134	18.000000	
24.477394	12.000000	
24.497654	13.000000	
24.517913	15.000000	
24.538173	9.000000	
24.558433	14.000000	
24.578692	15.000000	
24.598952	18.000000	
24.619212	20.000000	
24.639472	17.000000	
24.659731	17.000000	
24.679991	16.000000	
24.700251	12.000000	
24.720510	12.000000	
24.740770	17.000000	
24.761030	17.000000	
24.781289	17.000000	
24.801549	15.000000	
24.821809	11.000000	
24.842069	14.000000	
24.862328	11.000000	
24.882588	10.000000	
24.902848	8.000000	
24.923107	14.000000	
24.943367	12.000000	
24.963627	10.000000	
24.983886	18.000000	
25.004146	15.000000	
25.024406	15.000000	
25.044666	13.000000	
25.064925	12.000000	
25.085185	20.000000	
25.105445	13.000000	
25.125704	15.000000	
25.145964	19.000000	
25.166224	13.000000	
25.186484	16.000000	
25.206743	11.000000	
25.227003	17.000000	
25.247263	14.000000	
25.267522	13.000000	
25.287782	13.000000	
25.308042	14.000000	
25.328301	17.000000	
25.348561	14.000000	
25.368821	13.000000	
25.389081	18.000000	
25.409340	14.000000	
25.429600	13.000000	
25.449860	9.000000	
25.470119	14.000000	
25.490379	11.000000	
25.510639	18.000000	
25.530898	12.000000	
25.551158	12.000000	
25.571418	17.000000	
25.591678	15.000000	
25.611937	12.000000	
25.632197	13.000000	
25.652457	16.000000	
25.672716	21.000000	
25.692976	21.000000	
25.713236	6.000000	
25.733495	11.000000	
25.753755	14.000000	
25.774015	13.000000	
25.794275	23.000000	
25.814534	11.000000	
25.834794	18.000000	
25.855054	14.000000	
25.875313	18.000000	
25.895573	21.000000	
25.915833	17.000000	
25.936092	16.000000	
25.956352	11.000000	
25.976612	17.000000	
25.996872	13.000000	
26.017131	18.000000	
26.037391	22.000000	
26.057651	16.000000	
26.077910	15.000000	
26.098170	18.000000	
26.118430	17.000000	
26.138689	20.000000	
26.158949	32.000000	
26.179209	12.000000	
26.199469	16.000000	
26.219728	19.000000	
26.239988	11.000000	
26.260248	16.000000	
26.280507	19.000000	
26.300767	19.000000	
26.321027	22.000000	
26.341286	13.000000	
26.361546	21.000000	
26.381806	13.000000	
26.402066	19.000000	
26.422325	16.000000	
26.442585	12.000000	
26.462845	9.000000	
26.483104	13.000000	
26.503364	14.000000	
26.523624	24.000000	
26.543883	16.000000	
26.564143	9.000000	
26.584403	12.000000	
26.604663	10.000000	
26.624922	14.000000	
26.645182	10.000000	
26.665442	12.000000	
26.685701	13.000000	
26.705961	18.000000	
26.726221	16.000000	
26.746481	15.000000	
26.766740	18.000000	
26.787000	9.000000	
26.807260	14.000000	
26.827519	19.000000	
26.847779	17.000000	
26.868039	15.000000	
26.888298	11.000000	
26.908558	18.000000	
26.928818	16.000000	
26.949078	8.000000	
26.969337	17.000000	
26.989597	19.000000	
27.009857	14.000000	
27.030116	11.000000	
27.050376	12.000000	
27.070636	17.000000	
27.090895	15.000000	
27.111155	18.000000	
27.131415	14.000000	
27.151675	7.000000	
27.171934	13.000000	
27.192194	12.000000	
27.212454	17.000000	
27.232713	15.000000	
27.252973	10.000000	
27.273233	13.000000	
27.293492	18.000000	
27.313752	17.000000	
27.334012	13.000000	
27.354272	10.000000	
27.374531	19.000000	
27.394791	11.000000	
27.415051	19.000000	
27.435310	21.000000	
27.455570	15.000000	
27.475830	15.000000	
27.496089	16.000000	
27.516349	16.000000	
27.536609	7.000000	
27.556869	11.000000	
27.577128	21.000000	
27.597388	12.000000	
27.617648	16.000000	
27.637907	15.000000	
27.658167	12.000000	
27.678427	14.000000	
27.698686	12.000000	
27.718946	16.000000	
27.739206	11.000000	
27.759466	13.000000	
27.779725	17.000000	
27.799985	13.000000	
27.820245	13.000000	
27.840504	15.000000	
27.860764	13.000000	
27.881024	13.000000	
27.901283	11.000000	
27.921543	18.000000	
27.941803	12.000000	
27.962063	14.000000	
27.982322	12.000000	
28.002582	9.000000	
28.022842	14.000000	
28.043101	15.000000	
28.063361	14.000000	
28.083621	11.000000	
28.103880	15.000000	
28.124140	5.000000	
28.144400	19.000000	
28.164660	13.000000	
28.184919	8.000000	
28.205179	18.000000	
28.225439	16.000000	
28.245698	19.000000	
28.265958	14.000000	
28.286218	17.000000	
28.306477	12.000000	
28.326737	9.000000	
28.346997	14.000000	
28.367257	17.000000	
28.387516	12.000000	
28.407776	13.000000	
28.428036	22.000000	
28.448295	10.000000	
28.468555	13.000000	
28.488815	17.000000	
28.509075	11.000000	
28.529334	10.000000	
28.549594	20.000000	
28.569854	14.000000	
28.590113	12.000000	
28.610373	12.000000	
28.630633	16.000000	
28.650892	14.000000	
28.671152	14.000000	
28.691412	13.000000	
28.711672	15.000000	
28.731931	14.000000	
28.752191	12.000000	
28.772451	22.000000	
28.792710	16.000000	
28.812970	9.000000	
28.833230	15.000000	
28.853489	13.000000	
28.873749	15.000000	
28.894009	16.000000	
28.914269	17.000000	
28.934528	12.000000	
28.954788	15.000000	
28.975048	13.000000	
28.995307	22.000000	
29.015567	21.000000	
29.035827	9.000000	
29.056086	13.000000	
29.076346	19.000000	
29.096606	14.000000	
29.116866	19.000000	
29.137125	9.000000	
29.157385	14.000000	
29.177645	10.000000	
29.197904	17.000000	
29.218164	16.000000	
29.238424	11.000000	
29.258683	20.000000	
29.278943	17.000000	
29.299203	11.000000	
29.319463	12.000000	
29.339722	13.000000	
29.359982	12.000000	
29.380242	12.000000	
29.400501	13.000000	
29.420761	17.000000	
29.441021	14.000000	
29.461280	12.000000	
29.481540	13.000000	
29.501800	15.000000	
29.522060	14.000000	
29.542319	16.000000	
29.562579	18.000000	
29.582839	19.000000	
29.603098	13.000000	
29.623358	21.000000	
29.643618	18.000000	
29.663877	11.000000	
29.684137	11.000000	
29.704397	13.000000	
29.724657	9.000000	
29.744916	12.000000	
29.765176	19.000000	
29.785436	13.000000	
29.805695	23.000000	
29.825955	16.000000	
29.846215	13.000000	
29.866474	21.000000	
29.886734	12.000000	
29.906994	15.000000	
29.927254	17.000000	
29.947513	16.000000	
29.967773	21.000000	
29.988033	15.000000	
30.008292	12.000000	
30.028552	15.000000	
30.048812	12.000000	
30.069071	15.000000	
30.089331	16.000000	
30.109591	19.000000	
30.129851	14.000000	
30.150110	20.000000	
30.170370	18.000000	
30.190630	15.000000	
30.210889	25.000000	
30.231149	13.000000	
30.251409	15.000000	
30.271669	11.000000	
30.291928	9.000000	
30.312188	15.000000	
30.332448	18.000000	
30.352707	19.000000	
30.372967	24.000000	
30.393227	13.000000	
30.413486	13.000000	
30.433746	20.000000	
30.454006	19.000000	
30.474266	13.000000	
30.494525	15.000000	
30.514785	27.000000	
30.535045	19.000000	
30.555304	12.000000	
30.575564	14.000000	
30.595824	17.000000	
30.616083	20.000000	
30.636343	16.000000	
30.656603	22.000000	
30.676863	23.000000	
30.697122	26.000000	
30.717382	18.000000	
30.737642	16.000000	
30.757901	25.000000	
30.778161	24.000000	
30.798421	28.000000	
30.818680	24.000000	
30.838940	21.000000	
30.859200	23.000000	
30.879460	23.000000	
30.899719	31.000000	
30.919979	21.000000	
30.940239	30.000000	
30.960498	24.000000	
30.980758	25.000000	
31.001018	48.000000	
31.021277	30.000000	
31.041537	36.000000	
31.061797	41.000000	
31.082057	42.000000	
31.102316	47.000000	
31.122576	44.000000	
31.142836	49.000000	
31.163095	50.000000	
31.183355	57.000000	
31.203615	46.000000	
31.223874	75.000000	
31.244134	68.000000	
31.264394	78.000000	
31.284654	75.000000	
31.304913	83.000000	
31.325173	96.000000	
31.345433	101.000000	
31.365692	101.000000	
31.385952	110.000000	
31.406212	130.000000	
31.426471	144.000000	
31.446731	132.000000	
31.466991	150.000000	
31.487251	152.000000	
31.507510	182.000000	
31.527770	157.000000	
31.548030	173.000000	
31.568289	157.000000	
31.588549	155.000000	
31.608809	140.000000	
31.629068	130.000000	
31.649328	144.000000	
31.669588	118.000000	
31.689848	117.000000	
31.710107	97.000000	
31.730367	108.000000	
31.750627	100.000000	
31.770886	72.000000	
31.791146	61.000000	
31.811406	59.000000	
31.831666	63.000000	
31.851925	54.000000	
31.872185	56.000000	
31.892445	36.000000	
31.912704	44.000000	
31.932964	44.000000	
31.953224	41.000000	
31.973483	36.000000	
31.993743	38.000000	
32.014003	33.000000	
32.034263	25.000000	
32.054522	36.000000	
32.074782	37.000000	
32.095042	34.000000	
32.115301	36.000000	
32.135561	45.000000	
32.155821	49.000000	
32.176080	35.000000	
32.196340	31.000000	
32.216600	35.000000	
32.236860	27.000000	
32.257119	35.000000	
32.277379	30.000000	
32.297639	36.000000	
32.317898	35.000000	
32.338158	29.000000	
32.358418	23.000000	
32.378677	30.000000	
32.398937	34.000000	
32.419197	26.000000	
32.439457	28.000000	
32.459716	21.000000	
32.479976	19.000000	
32.500236	23.000000	
32.520495	25.000000	
32.540755	24.000000	
32.561015	24.000000	
32.581274	35.000000	
32.601534	26.000000	
32.621794	25.000000	
32.642054	27.000000	
32.662313	30.000000	
32.682573	31.000000	
32.702833	35.000000	
32.723092	22.000000	
32.743352	30.000000	
32.763612	33.000000	
32.783871	36.000000	
32.804131	44.000000	
32.824391	67.000000	
32.844651	92.000000	
32.864910	186.000000	
32.885170	367.000000	
32.905430	370.000000	
32.925689	387.000000	
32.945949	408.000000	
32.966209	492.000000	
32.986468	524.000000	
33.006728	505.000000	
33.026988	419.000000	
33.047248	274.000000	
33.067507	230.000000	
33.087767	168.000000	
33.108027	102.000000	
33.128286	64.000000	
33.148546	39.000000	
33.168806	27.000000	
33.189065	20.000000	
33.209325	23.000000	
33.229585	12.000000	
33.249845	14.000000	
33.270104	13.000000	
33.290364	23.000000	
33.310624	10.000000	
33.330883	8.000000	
33.351143	9.000000	
33.371403	8.000000	
33.391662	11.000000	
33.411922	13.000000	
33.432182	17.000000	
33.452442	12.000000	
33.472701	12.000000	
33.492961	11.000000	
33.513221	13.000000	
33.533480	12.000000	
33.553740	12.000000	
33.574000	14.000000	
33.594260	17.000000	
33.614519	24.000000	
33.634779	11.000000	
33.655039	16.000000	
33.675298	15.000000	
33.695558	21.000000	
33.715818	19.000000	
33.736077	18.000000	
33.756337	18.000000	
33.776597	19.000000	
33.796857	23.000000	
33.817116	22.000000	
33.837376	20.000000	
33.857636	24.000000	
33.877895	26.000000	
33.898155	31.000000	
33.918415	39.000000	
33.938674	42.000000	
33.958934	43.000000	
33.979194	32.000000	
33.999454	45.000000	
34.019713	40.000000	
34.039973	46.000000	
34.060233	46.000000	
34.080492	49.000000	
34.100752	40.000000	
34.121012	43.000000	
34.141271	42.000000	
34.161531	65.000000	
34.181791	70.000000	
34.202051	42.000000	
34.222310	45.000000	
34.242570	49.000000	
34.262830	56.000000	
34.283089	58.000000	
34.303349	61.000000	
34.323609	46.000000	
34.343868	53.000000	
34.364128	39.000000	
34.384388	38.000000	
34.404648	44.000000	
34.424907	35.000000	
34.445167	41.000000	
34.465427	35.000000	
34.485686	30.000000	
34.505946	28.000000	
34.526206	31.000000	
34.546465	16.000000	
34.566725	33.000000	
34.586985	26.000000	
34.607245	20.000000	
34.627504	22.000000	
34.647764	11.000000	
34.668024	21.000000	
34.688283	12.000000	
34.708543	16.000000	
34.728803	13.000000	
34.749062	13.000000	
34.769322	17.000000	
34.789582	14.000000	
34.809842	15.000000	
34.830101	13.000000	
34.850361	17.000000	
34.870621	23.000000	
34.890880	14.000000	
34.911140	12.000000	
34.931400	9.000000	
34.951659	8.000000	
34.971919	12.000000	
34.992179	13.000000	
35.012439	12.000000	
35.032698	10.000000	
35.052958	7.000000	
35.073218	4.000000	
35.093477	12.000000	
35.113737	11.000000	
35.133997	12.000000	
35.154257	7.000000	
35.174516	13.000000	
35.194776	12.000000	
35.215036	13.000000	
35.235295	8.000000	
35.255555	10.000000	
35.275815	12.000000	
35.296074	6.000000	
35.316334	10.000000	
35.336594	12.000000	
35.356854	15.000000	
35.377113	9.000000	
35.397373	9.000000	
35.417633	13.000000	
35.437892	8.000000	
35.458152	10.000000	
35.478412	9.000000	
35.498671	10.000000	
35.518931	11.000000	
35.539191	6.000000	
35.559451	6.000000	
35.579710	8.000000	
35.599970	11.000000	
35.620230	6.000000	
35.640489	7.000000	
35.660749	11.000000	
35.681009	10.000000	
35.701268	7.000000	
35.721528	8.000000	
35.741788	8.000000	
35.762048	4.000000	
35.782307	9.000000	
35.802567	5.000000	
35.822827	10.000000	
35.843086	7.000000	
35.863346	10.000000	
35.883606	4.000000	
35.903865	8.000000	
35.924125	9.000000	
35.944385	8.000000	
35.964645	7.000000	
35.984904	7.000000	
36.005164	9.000000	
36.025424	9.000000	
36.045683	4.000000	
36.065943	8.000000	
36.086203	12.000000	
36.106462	9.000000	
36.126722	9.000000	
36.146982	13.000000	
36.167242	11.000000	
36.187501	8.000000	
36.207761	5.000000	
36.228021	11.000000	
36.248280	13.000000	
36.268540	7.000000	
36.288800	6.000000	
36.309059	6.000000	
36.329319	6.000000	
36.349579	6.000000	
36.369839	13.000000	
36.390098	8.000000	
36.410358	4.000000	
36.430618	8.000000	
36.450877	7.000000	
36.471137	5.000000	
36.491397	13.000000	
36.511656	6.000000	
36.531916	10.000000	
36.552176	10.000000	
36.572436	8.000000	
36.592695	8.000000	
36.612955	13.000000	
36.633215	10.000000	
36.653474	10.000000	
36.673734	5.000000	
36.693994	8.000000	
36.714253	10.000000	
36.734513	7.000000	
36.754773	11.000000	
36.775033	15.000000	
36.795292	16.000000	
36.815552	12.000000	
36.835812	11.000000	
36.856071	8.000000	
36.876331	9.000000	
36.896591	10.000000	
36.916851	6.000000	
36.937110	11.000000	
36.957370	11.000000	
36.977630	11.000000	
36.997889	7.000000	
37.018149	12.000000	
37.038409	5.000000	
37.058668	9.000000	
37.078928	17.000000	
37.099188	7.000000	
37.119448	10.000000	
37.139707	7.000000	
37.159967	7.000000	
37.180227	3.000000	
37.200486	8.000000	
37.220746	9.000000	
37.241006	10.000000	
37.261265	16.000000	
37.281525	10.000000	
37.301785	8.000000	
37.322045	5.000000	
37.342304	6.000000	
37.362564	13.000000	
37.382824	12.000000	
37.403083	13.000000	
37.423343	11.000000	
37.443603	12.000000	
37.463862	5.000000	
37.484122	12.000000	
37.504382	5.000000	
37.524642	10.000000	
37.544901	8.000000	
37.565161	17.000000	
37.585421	9.000000	
37.605680	6.000000	
37.625940	13.000000	
37.646200	9.000000	
37.666459	7.000000	
37.686719	9.000000	
37.706979	13.000000	
37.727239	8.000000	
37.747498	12.000000	
37.767758	11.000000	
37.788018	10.000000	
37.808277	3.000000	
37.828537	10.000000	
37.848797	10.000000	
37.869056	9.000000	
37.889316	15.000000	
37.909576	10.000000	
37.929836	13.000000	
37.950095	10.000000	
37.970355	9.000000	
37.990615	12.000000	
38.010874	10.000000	
38.031134	8.000000	
38.051394	10.000000	
38.071653	9.000000	
38.091913	14.000000	
38.112173	12.000000	
38.132433	11.000000	
38.152692	10.000000	
38.172952	16.000000	
38.193212	18.000000	
38.213471	16.000000	
38.233731	8.000000	
38.253991	15.000000	
38.274250	16.000000	
38.294510	20.000000	
38.314770	18.000000	
38.335030	13.000000	
38.355289	17.000000	
38.375549	21.000000	
38.395809	23.000000	
38.416068	21.000000	
38.436328	22.000000	
38.456588	27.000000	
38.476847	29.000000	
38.497107	33.000000	
38.517367	26.000000	
38.537627	32.000000	
38.557886	28.000000	
38.578146	36.000000	
38.598406	38.000000	
38.618665	34.000000	
38.638925	31.000000	
38.659185	43.000000	
38.679445	32.000000	
38.699704	29.000000	
38.719964	42.000000	
38.740224	39.000000	
38.760483	40.000000	
38.780743	42.000000	
38.801003	62.000000	
38.821262	52.000000	
38.841522	51.000000	
38.861782	50.000000	
38.882042	62.000000	
38.902301	47.000000	
38.922561	54.000000	
38.942821	52.000000	
38.963080	48.000000	
38.983340	51.000000	
39.003600	43.000000	
39.023859	48.000000	
39.044119	57.000000	
39.064379	47.000000	
39.084639	53.000000	
39.104898	49.000000	
39.125158	31.000000	
39.145418	37.000000	
39.165677	42.000000	
39.185937	38.000000	
39.206197	36.000000	
39.226456	42.000000	
39.246716	27.000000	
39.266976	39.000000	
39.287236	36.000000	
39.307495	35.000000	
39.327755	32.000000	
39.348015	41.000000	
39.368274	30.000000	
39.388534	39.000000	
39.408794	48.000000	
39.429053	40.000000	
39.449313	35.000000	
39.469573	48.000000	
39.489833	41.000000	
39.510092	58.000000	
39.530352	75.000000	
39.550612	59.000000	
39.570871	75.000000	
39.591131	85.000000	
39.611391	110.000000	
39.631650	113.000000	
39.651910	126.000000	
39.672170	179.000000	
39.692430	224.000000	
39.712689	308.000000	
39.732949	443.000000	
39.753209	547.000000	
39.773468	737.000000	
39.793728	1074.000000	
39.813988	1291.000000	
39.834247	1495.000000	
39.854507	1686.000000	
39.874767	1714.000000	
39.895027	1739.000000	
39.915286	1688.000000	
39.935546	1585.000000	
39.955806	1375.000000	
39.976065	1164.000000	
39.996325	925.000000	
40.016585	790.000000	
40.036844	639.000000	
40.057104	481.000000	
40.077364	333.000000	
40.097624	245.000000	
40.117883	180.000000	
40.138143	156.000000	
40.158403	84.000000	
40.178662	97.000000	
40.198922	89.000000	
40.219182	71.000000	
40.239442	45.000000	
40.259701	68.000000	
40.279961	48.000000	
40.300221	42.000000	
40.320480	33.000000	
40.340740	42.000000	
40.361000	23.000000	
40.381259	26.000000	
40.401519	30.000000	
40.421779	32.000000	
40.442039	33.000000	
40.462298	29.000000	
40.482558	23.000000	
40.502818	29.000000	
40.523077	19.000000	
40.543337	19.000000	
40.563597	15.000000	
40.583856	24.000000	
40.604116	19.000000	
40.624376	18.000000	
40.644636	19.000000	
40.664895	16.000000	
40.685155	17.000000	
40.705415	29.000000	
40.725674	15.000000	
40.745934	11.000000	
40.766194	14.000000	
40.786453	17.000000	
40.806713	13.000000	
40.826973	25.000000	
40.847233	13.000000	
40.867492	9.000000	
40.887752	16.000000	
40.908012	8.000000	
40.928271	17.000000	
40.948531	10.000000	
40.968791	12.000000	
40.989050	9.000000	
41.009310	11.000000	
41.029570	19.000000	
41.049830	8.000000	
41.070089	16.000000	
41.090349	7.000000	
41.110609	10.000000	
41.130868	13.000000	
41.151128	1.000000	
41.171388	14.000000	
41.191647	13.000000	
41.211907	10.000000	
41.232167	11.000000	
41.252427	14.000000	
41.272686	13.000000	
41.292946	15.000000	
41.313206	10.000000	
41.333465	8.000000	
41.353725	10.000000	
41.373985	10.000000	
41.394244	9.000000	
41.414504	11.000000	
41.434764	8.000000	
41.455024	11.000000	
41.475283	9.000000	
41.495543	8.000000	
41.515803	10.000000	
41.536062	12.000000	
41.556322	11.000000	
41.576582	8.000000	
41.596841	12.000000	
41.617101	9.000000	
41.637361	8.000000	
41.657621	14.000000	
41.677880	5.000000	
41.698140	7.000000	
41.718400	15.000000	
41.738659	10.000000	
41.758919	9.000000	
41.779179	9.000000	
41.799438	11.000000	
41.819698	10.000000	
41.839958	5.000000	
41.860218	9.000000	
41.880477	9.000000	
41.900737	12.000000	
41.920997	10.000000	
41.941256	6.000000	
41.961516	12.000000	
41.981776	9.000000	
42.002036	9.000000	
42.022295	13.000000	
42.042555	9.000000	
42.062815	8.000000	
42.083074	11.000000	
42.103334	12.000000	
42.123594	6.000000	
42.143853	7.000000	
42.164113	10.000000	
42.184373	7.000000	
42.204633	4.000000	
42.224892	7.000000	
42.245152	10.000000	
42.265412	1.000000	
42.285671	5.000000	
42.305931	10.000000	
42.326191	8.000000	
42.346450	5.000000	
42.366710	8.000000	
42.386970	13.000000	
42.407230	4.000000	
42.427489	4.000000	
42.447749	5.000000	
