;content of C:\Users\Bruker\AppData\Local\Temp\92fetmp-49747219.raw - (Diffrac Plus V4 file)
_FILEVERSION = 3
_SAMPLE = Commander Sample ID
_+SAMPLE
_USER = Lab Manager
_GONIOMETER_CODE = 21
_STAGE_CODE = 4
; Goniometer : D8 theta/theta, stage : Open eulerian craddle
_SAMPLE_CHANGER_CODE = 0
_ATTACHMENTS_CODE = 0
_GONIOMETER_RADIUS = 415
_MONOCHROMATOR = 0
; Incident beam monochromator : None
_BETA_FILTER = N
_ANALYZER_CODE = 0
; Received beam analyzer : None
_DATEMEASURED = 09-Dec-2020 15:50:10
_RUNTIME = 12.37974
_WL_UNIT = A
_WL1 = 1.5406
_WL2 = 1.54439
_WL3 = 1.39222
_WLRATIO = 0.5
_ANODE = Cu
_V4_INF_USER = Lab Manager
_V4_INF_SAMPLEID = Commander Sample ID
_V4_INF_CREATOR = V5Converter
_V4_INF_CREATOR_VERSION = 3.3.47.0
_V4_INF_SUBSTRATE = Si (no database)
_V4_INF_LAYER = Si (no database)

; Data for range 1
_DRIVE = COUPLED
_STEPTIME = 76.8
_STEPSIZE = 0.02026
_STEPMODE = C
_START = 20
_THETA = 10
_2THETA = 20
_KHI = -0.4002
_PHI = 0
_X = -9.722
_Y = 0
_Z = 0.682
_DETECTORSLIT = out
_AUX2 = 0
_TIMESTARTED = 0
_KV = 40
_MA = 40
_RANGE_WL = 1.5406
_3DPLANE = 0
_V4_PSD2THETA = 9999
_V4_PSDCHANNEL1 = 0
_V4_PSDAPERTURE = 2.083855
_V4_PSDTYPE = 5
_V4_PSDFIXED = 0
_V4_COUNTERS_MASK = 1
_V4_DRIVES_MASK = 0
_V4_ENCODERS_MASK = 0
_2THETACOUNTS = 1
; 2THETA	Cnt2_D1	
20.000000	26.000000	
20.020260	18.000000	
20.040519	21.000000	
20.060779	16.000000	
20.081039	25.000000	
20.101299	22.000000	
20.121558	22.000000	
20.141818	17.000000	
20.162078	26.000000	
20.182337	24.000000	
20.202597	17.000000	
20.222857	15.000000	
20.243116	25.000000	
20.263376	17.000000	
20.283636	16.000000	
20.303896	15.000000	
20.324155	21.000000	
20.344415	20.000000	
20.364675	19.000000	
20.384934	21.000000	
20.405194	25.000000	
20.425454	17.000000	
20.445713	19.000000	
20.465973	19.000000	
20.486233	22.000000	
20.506493	24.000000	
20.526752	17.000000	
20.547012	20.000000	
20.567272	20.000000	
20.587531	24.000000	
20.607791	16.000000	
20.628051	24.000000	
20.648310	25.000000	
20.668570	34.000000	
20.688830	22.000000	
20.709090	20.000000	
20.729349	17.000000	
20.749609	31.000000	
20.769869	24.000000	
20.790128	21.000000	
20.810388	25.000000	
20.830648	17.000000	
20.850907	22.000000	
20.871167	19.000000	
20.891427	15.000000	
20.911687	27.000000	
20.931946	20.000000	
20.952206	20.000000	
20.972466	15.000000	
20.992725	20.000000	
21.012985	34.000000	
21.033245	33.000000	
21.053504	18.000000	
21.073764	25.000000	
21.094024	23.000000	
21.114284	22.000000	
21.134543	16.000000	
21.154803	29.000000	
21.175063	24.000000	
21.195322	17.000000	
21.215582	26.000000	
21.235842	12.000000	
21.256101	18.000000	
21.276361	24.000000	
21.296621	19.000000	
21.316881	22.000000	
21.337140	24.000000	
21.357400	27.000000	
21.377660	24.000000	
21.397919	24.000000	
21.418179	18.000000	
21.438439	24.000000	
21.458698	28.000000	
21.478958	18.000000	
21.499218	17.000000	
21.519478	17.000000	
21.539737	15.000000	
21.559997	24.000000	
21.580257	20.000000	
21.600516	21.000000	
21.620776	25.000000	
