100,0,0,,,,
90.2,0.049,0.331,,,,
86.2,0.103,0.446,,,,
84.1,0.155,0.503,,,,
83,0.206,0.532,,,,
82.3,0.25,0.552,,,,
81.8,0.299,0.574,,,,
81.2,0.349,0.596,,,,
80.7,0.398,0.614,,,,
80.2,0.446,0.629,,,,
79.9,0.493,0.651,,,,
79.6,0.545,0.671,,,,
79.2,0.596,0.691,,,,
78.9,0.645,0.718,,,,
78.7,0.694,0.751,,,,
78.5,0.744,0.782,,,,
78.4,0.793,0.813,,,,
78.3,0.842,0.857,,,,
78.3,0.891,0.896,,,,
78.3,0.942,0.947,,,,
78.8,1,1,,,,
,,,,,,
,,,,,,
,,,,,,
