装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,450,nm
蛍光開始波長:,500,nm
蛍光終了波長:,800,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
571.2,6.92,
571.4,7.01,
571.6,7.038,
571.8,7.024,
572,7.078,
572.2,7.179,
572.4,7.195,
572.6,7.269,
572.8,7.365,
573,7.411,
573.2,7.524,
573.4,7.636,
573.6,7.718,
573.8,7.84,
574,7.884,
574.2,8.01,
574.4,8.108,
574.6,8.209,
574.8,8.375,
575,8.439,
575.2,8.596,
575.4,8.685,
575.6,8.855,
575.8,8.95,
576,9.102,
576.2,9.231,
576.4,9.406,
576.6,9.574,
576.8,9.661,
577,9.809,
577.2,9.972,
577.4,10.18,
577.6,10.33,
577.8,10.49,
578,10.7,
578.2,10.83,
578.4,10.95,
578.6,11.17,
578.8,11.37,
579,11.53,
579.2,11.69,
579.4,11.91,
579.6,12.14,
579.8,12.4,
580,12.58,
580.2,12.81,
580.4,13.06,
580.6,13.35,
580.8,13.6,
581,13.78,
581.2,13.95,
581.4,14.17,
581.6,14.48,
581.8,14.83,
582,15.04,
582.2,15.26,
582.4,15.48,
582.6,15.86,
582.8,16.13,
583,16.46,
583.2,16.68,
583.4,16.93,
583.6,17.21,
583.8,17.57,
584,17.9,
584.2,18.26,
584.4,18.59,
584.6,18.89,
584.8,19.21,
585,19.55,
585.2,19.97,
585.4,20.36,
585.6,20.76,
585.8,21.15,
586,21.64,
586.2,22.1,
586.4,22.45,
586.6,22.81,
586.8,23.3,
587,23.79,
587.2,24.12,
587.4,24.67,
587.6,25.09,
587.8,25.69,
588,26.18,
588.2,26.61,
588.4,27.15,
588.6,27.72,
588.8,28.35,
589,28.87,
589.2,29.56,
589.4,30.16,
589.6,30.74,
589.8,31.43,
590,32.04,
590.2,32.74,
590.4,33.34,
590.6,34.08,
590.8,34.81,
591,35.59,
591.2,36.36,
591.4,37.11,
591.6,37.73,
591.8,38.48,
592,39.36,
592.2,40.11,
592.4,41.01,
592.6,41.7,
592.8,42.61,
593,43.45,
593.2,44.32,
593.4,45.31,
593.6,46.26,
593.8,47.25,
594,48.11,
594.2,49.03,
594.4,50,
594.6,50.92,
594.8,52.01,
595,53.32,
595.2,54.32,
595.4,55.57,
595.6,56.62,
595.8,57.54,
596,58.69,
596.2,59.74,
596.4,60.83,
596.6,62.2,
596.8,63.35,
597,64.41,
597.2,65.56,
597.4,66.76,
597.6,68.19,
597.8,69.42,
598,70.8,
598.2,71.94,
598.4,73.21,
598.6,74.81,
598.8,76.12,
599,77.48,
599.2,79.07,
599.4,80.56,
599.6,82.06,
599.8,83.48,
600,84.82,
600.2,86.33,
600.4,88.02,
600.6,89.49,
600.8,90.92,
601,92.65,
601.2,94.53,
601.4,95.99,
601.6,97.84,
601.8,99.57,
602,101.5,
602.2,103.3,
602.4,105.2,
602.6,107.2,
602.8,109.2,
603,111.4,
603.2,113.4,
603.4,115.6,
603.6,117.6,
603.8,119.8,
604,121.6,
604.2,124,
604.4,126.4,
604.6,128.5,
604.8,130.9,
605,133.4,
605.2,135.9,
605.4,138.4,
605.6,140.5,
605.8,143.1,
606,145.8,
606.2,148.5,
606.4,151.6,
606.6,154.4,
606.8,157.5,
607,160.2,
607.2,162.8,
607.4,165.6,
607.6,168.5,
607.8,171.4,
608,174.4,
608.2,177.5,
608.4,180.4,
608.6,183.6,
608.8,186.2,
609,189.2,
609.2,192.5,
609.4,195.2,
609.6,198.5,
609.8,201.8,
610,205,
610.2,208.2,
610.4,211.6,
610.6,215.2,
610.8,218.9,
611,223.3,
611.2,227.1,
611.4,231,
611.6,234.1,
611.8,237.9,
612,241.6,
612.2,245.6,
612.4,249.7,
612.6,254.3,
612.8,258.3,
613,262.1,
613.2,266.5,
613.4,270.7,
613.6,274.9,
613.8,278.8,
614,283.1,
614.2,287.9,
614.4,293,
614.6,297.8,
614.8,303,
615,307.9,
615.2,312.1,
615.4,317.2,
615.6,322.3,
615.8,327.3,
616,332,
616.2,337.7,
616.4,342.8,
616.6,348,
616.8,353.5,
617,358.8,
617.2,364.2,
617.4,369.6,
617.6,375.8,
617.8,381.3,
618,387.2,
618.2,392.2,
618.4,397.6,
618.6,403.3,
618.8,409.6,
619,416.4,
619.2,422.2,
619.4,428.9,
619.6,434.8,
619.8,440.7,
620,447,
620.2,453.2,
620.4,460.1,
620.6,466.9,
620.8,473.3,
621,480.1,
621.2,486.4,
621.4,492.8,
621.6,499.2,
621.8,506.3,
622,513.7,
622.2,521.2,
622.4,528.8,
622.6,535.8,
622.8,542.2,
623,549.7,
623.2,556.7,
623.4,563.5,
623.6,570.6,
623.8,578.8,
624,586.8,
624.2,595,
624.4,602.7,
624.6,610,
624.8,616.7,
625,624.9,
625.2,632.2,
625.4,639.6,
625.6,647.9,
625.8,655.7,
626,664.3,
626.2,671.8,
626.4,679.8,
626.6,687.8,
626.8,696.7,
627,705.3,
627.2,714,
627.4,723.1,
627.6,732.3,
627.8,739.8,
628,748.6,
628.2,758.1,
628.4,767.4,
628.6,776,
628.8,784.7,
629,793.4,
629.2,802.8,
629.4,811.9,
629.6,820.7,
629.8,830.3,
630,838.8,
630.2,847.8,
630.4,857.5,
630.6,867.4,
630.8,876.8,
631,885.3,
631.2,894.3,
631.4,902.8,
631.6,911.5,
631.8,921.1,
632,930.3,
632.2,940.7,
632.4,950.4,
632.6,959,
632.8,968.3,
633,976.8,
633.2,985.7,
633.4,995.1,
633.6,1005,
633.8,1014,
634,1023,
634.2,1033,
634.4,1042,
634.6,1052,
634.8,1062,
635,1073,
635.2,1084,
635.4,1093,
635.6,1103,
635.8,1112,
636,1121,
636.2,1131,
636.4,1140,
636.6,1151,
636.8,1162,
637,1173,
637.2,1182,
637.4,1191,
637.6,1201,
637.8,1212,
638,1222,
638.2,1232,
638.4,1243,
638.6,1254,
638.8,1263,
639,1272,
639.2,1282,
639.4,1292,
639.6,1301,
639.8,1311,
640,1321,
640.2,1331,
640.4,1342,
640.6,1353,
640.8,1363,
641,1374,
641.2,1383,
641.4,1393,
641.6,1404,
641.8,1415,
642,1424,
642.2,1433,
642.4,1442,
642.6,1452,
642.8,1462,
643,1471,
643.2,1480,
643.4,1489,
643.6,1499,
643.8,1509,
644,1519,
644.2,1529,
644.4,1540,
644.6,1549,
644.8,1558,
645,1568,
645.2,1577,
645.4,1586,
645.6,1594,
645.8,1604,
646,1613,
646.2,1623,
646.4,1632,
646.6,1642,
646.8,1650,
647,1657,
647.2,1669,
647.4,1677,
647.6,1686,
647.8,1694,
648,1702,
648.2,1710,
648.4,1718,
648.6,1727,
648.8,1733,
649,1741,
649.2,1748,
649.4,1754,
649.6,1762,
649.8,1770,
650,1778,
650.2,1786,
650.4,1795,
650.6,1802,
650.8,1809,
651,1816,
651.2,1822,
651.4,1830,
651.6,1837,
651.8,1842,
652,1848,
652.2,1856,
652.4,1862,
652.6,1868,
652.8,1875,
653,1880,
653.2,1886,
653.4,1891,
653.6,1896,
653.8,1902,
654,1908,
654.2,1914,
654.4,1919,
654.6,1927,
654.8,1932,
655,1939,
655.2,1942,
655.4,1948,
655.6,1951,
655.8,1957,
656,1961,
656.2,1965,
656.4,1969,
656.6,1971,
656.8,1974,
657,1977,
657.2,1981,
657.4,1986,
657.6,1991,
657.8,1995,
658,1998,
658.2,2003,
658.4,2006,
658.6,2009,
658.8,2013,
659,2015,
659.2,2017,
659.4,2021,
659.6,2021,
659.8,2024,
660,2026,
660.2,2028,
660.4,2028,
660.6,2029,
660.8,2032,
661,2032,
661.2,2035,
661.4,2037,
661.6,2039,
661.8,2039,
662,2040,
662.2,2039,
662.4,2039,
662.6,2038,
662.8,2037,
663,2037,
663.2,2036,
663.4,2036,
663.6,2037,
663.8,2037,
664,2037,
664.2,2036,
664.4,2035,
664.6,2033,
664.8,2033,
665,2031,
665.2,2029,
665.4,2027,
665.6,2024,
665.8,2022,
666,2022,
666.2,2021,
666.4,2020,
666.6,2018,
666.8,2017,
667,2016,
667.2,2013,
667.4,2011,
667.6,2006,
667.8,2003,
668,2001,
668.2,1998,
668.4,1993,
668.6,1990,
668.8,1985,
669,1981,
669.2,1977,
669.4,1971,
669.6,1967,
669.8,1964,
670,1958,
670.2,1954,
670.4,1950,
670.6,1946,
670.8,1944,
671,1937,
671.2,1931,
671.4,1926,
671.6,1921,
671.8,1914,
672,1907,
672.2,1901,
672.4,1896,
672.6,1891,
672.8,1886,
673,1880,
673.2,1876,
673.4,1870,
673.6,1863,
673.8,1858,
674,1852,
674.2,1845,
674.4,1840,
674.6,1835,
674.8,1827,
675,1822,
675.2,1815,
675.4,1808,
675.6,1802,
675.8,1797,
676,1792,
676.2,1785,
676.4,1778,
676.6,1771,
676.8,1763,
677,1755,
677.2,1748,
677.4,1742,
677.6,1737,
677.8,1730,
678,1723,
678.2,1716,
678.4,1708,
678.6,1700,
678.8,1694,
679,1685,
679.2,1678,
679.4,1671,
679.6,1663,
679.8,1654,
680,1647,
680.2,1638,
680.4,1631,
680.6,1625,
680.8,1618,
681,1611,
681.2,1604,
681.4,1595,
681.6,1585,
681.8,1578,
682,1570,
682.2,1564,
682.4,1555,
682.6,1544,
682.8,1538,
683,1529,
683.2,1521,
683.4,1513,
683.6,1505,
683.8,1498,
684,1491,
684.2,1482,
684.4,1473,
684.6,1465,
684.8,1456,
685,1449,
685.2,1441,
685.4,1432,
685.6,1424,
685.8,1417,
686,1409,
686.2,1399,
686.4,1390,
686.6,1381,
686.8,1374,
687,1365,
687.2,1357,
687.4,1350,
687.6,1342,
687.8,1333,
688,1323,
688.2,1316,
688.4,1306,
688.6,1300,
688.8,1293,
689,1284,
689.2,1275,
689.4,1267,
689.6,1259,
689.8,1250,
