装置条件,,
ｽｷｬﾝﾓｰﾄﾞ:,蛍光ｽﾍﾟｸﾄﾙ,
励起波長:,345,nm
蛍光開始波長:,380,nm
蛍光終了波長:,550,nm
,,
ﾃﾞｰﾀﾘｽﾄ,,
波長 (nm),強度 (arb. unit),
452,23.63,
452.2,23.12,
452.4,22.68,
452.6,22.25,
452.8,21.8,
453,21.4,
453.2,21.04,
453.4,20.69,
453.6,20.38,
453.8,20.07,
454,19.73,
454.2,19.4,
454.4,19.04,
454.6,18.74,
454.8,18.41,
455,18.17,
455.2,17.9,
455.4,17.6,
455.6,17.33,
455.8,17.08,
456,16.78,
456.2,16.52,
456.4,16.28,
456.6,16.04,
456.8,15.8,
457,15.59,
457.2,15.35,
457.4,15.17,
457.6,15,
457.8,14.8,
458,14.62,
458.2,14.45,
458.4,14.28,
458.6,14.11,
458.8,13.91,
459,13.76,
459.2,13.63,
459.4,13.49,
459.6,13.41,
459.8,13.27,
460,13.13,
460.2,13.02,
460.4,12.87,
460.6,12.74,
460.8,12.61,
461,12.53,
461.2,12.45,
461.4,12.34,
461.6,12.23,
461.8,12.14,
462,12.03,
462.2,11.96,
462.4,11.86,
462.6,11.78,
462.8,11.7,
463,11.63,
463.2,11.55,
463.4,11.47,
463.6,11.41,
463.8,11.34,
464,11.28,
464.2,11.2,
464.4,11.12,
464.6,11.06,
464.8,11,
465,10.94,
465.2,10.88,
465.4,10.78,
465.6,10.75,
465.8,10.68,
466,10.6,
466.2,10.54,
466.4,10.47,
466.6,10.42,
466.8,10.34,
467,10.27,
467.2,10.17,
467.4,10.11,
467.6,10.06,
467.8,9.998,
468,9.967,
468.2,9.906,
468.4,9.864,
468.6,9.823,
468.8,9.763,
469,9.73,
469.2,9.675,
469.4,9.634,
469.6,9.614,
469.8,9.565,
470,9.55,
470.2,9.566,
470.4,9.542,
470.6,9.503,
470.8,9.499,
471,9.497,
471.2,9.476,
471.4,9.448,
471.6,9.416,
471.8,9.383,
472,9.354,
472.2,9.305,
472.4,9.266,
472.6,9.248,
472.8,9.216,
473,9.166,
473.2,9.142,
473.4,9.114,
473.6,9.049,
473.8,9.007,
474,8.975,
474.2,8.899,
474.4,8.847,
474.6,8.811,
474.8,8.771,
475,8.741,
475.2,8.691,
475.4,8.676,
475.6,8.623,
475.8,8.596,
476,8.57,
476.2,8.522,
476.4,8.494,
476.6,8.455,
476.8,8.43,
477,8.442,
477.2,8.404,
477.4,8.378,
477.6,8.374,
477.8,8.381,
478,8.362,
478.2,8.356,
478.4,8.335,
478.6,8.342,
478.8,8.344,
479,8.321,
479.2,8.252,
479.4,8.239,
479.6,8.221,
479.8,8.228,
480,8.174,
480.2,8.144,
480.4,8.112,
480.6,8.109,
480.8,8.105,
481,8.074,
481.2,8.089,
481.4,8.07,
481.6,8.037,
481.8,8.025,
482,8.048,
482.2,8.051,
482.4,8.028,
482.6,8.047,
482.8,8.014,
483,8.038,
483.2,8.036,
483.4,8.042,
483.6,8.049,
483.8,8.085,
484,8.074,
484.2,8.093,
484.4,8.128,
484.6,8.12,
484.8,8.095,
485,8.088,
485.2,8.083,
485.4,8.1,
485.6,8.087,
485.8,8.081,
486,8.081,
486.2,8.036,
486.4,7.998,
486.6,8.018,
486.8,8.013,
487,8.005,
487.2,7.98,
487.4,7.905,
487.6,7.887,
487.8,7.862,
488,7.847,
488.2,7.846,
488.4,7.811,
488.6,7.801,
488.8,7.777,
489,7.745,
489.2,7.75,
489.4,7.745,
489.6,7.727,
489.8,7.714,
490,7.688,
490.2,7.669,
490.4,7.632,
490.6,7.606,
490.8,7.573,
491,7.56,
491.2,7.578,
491.4,7.587,
491.6,7.569,
491.8,7.601,
492,7.587,
492.2,7.574,
492.4,7.576,
492.6,7.576,
492.8,7.586,
493,7.598,
493.2,7.6,
493.4,7.607,
493.6,7.64,
493.8,7.665,
494,7.696,
494.2,7.698,
494.4,7.723,
494.6,7.749,
494.8,7.753,
495,7.776,
495.2,7.791,
495.4,7.798,
495.6,7.802,
495.8,7.815,
496,7.839,
496.2,7.857,
496.4,7.85,
496.6,7.862,
496.8,7.885,
497,7.917,
497.2,7.928,
497.4,7.936,
497.6,7.964,
497.8,7.951,
498,7.966,
498.2,7.962,
498.4,7.944,
498.6,7.942,
498.8,7.938,
499,7.93,
499.2,7.908,
499.4,7.893,
499.6,7.898,
499.8,7.863,
500,7.819,
500.2,7.811,
500.4,7.822,
500.6,7.817,
500.8,7.781,
501,7.793,
501.2,7.758,
501.4,7.744,
501.6,7.715,
501.8,7.701,
502,7.72,
502.2,7.725,
502.4,7.732,
502.6,7.674,
502.8,7.672,
503,7.642,
503.2,7.626,
503.4,7.591,
503.6,7.597,
503.8,7.588,
504,7.578,
504.2,7.568,
504.4,7.572,
504.6,7.581,
504.8,7.59,
505,7.598,
505.2,7.595,
505.4,7.571,
505.6,7.553,
505.8,7.561,
506,7.544,
506.2,7.547,
506.4,7.533,
506.6,7.498,
506.8,7.487,
507,7.462,
507.2,7.47,
507.4,7.457,
507.6,7.473,
507.8,7.464,
508,7.455,
508.2,7.437,
508.4,7.447,
508.6,7.439,
508.8,7.451,
509,7.423,
509.2,7.421,
509.4,7.429,
509.6,7.419,
509.8,7.438,
510,7.449,
510.2,7.429,
510.4,7.428,
510.6,7.424,
510.8,7.424,
511,7.427,
511.2,7.453,
